model,scenario,Final energy per cap reductions,Share of final energy from electricity,Share of food demand from crops
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,-0.002005376763781,0.11790636436971552,0.006717136909997978
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff,-0.0021240341180448347,0.0963207369495116,0.006717136909997978
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,-0.001374825248798596,0.10742440252732949,0.006717136909997978
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,-0.0032240303292400616,0.09904554995393389,0.006717136909997978
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,-0.010144056511389589,0.1660982252431178,0.006717136909997978
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff,-0.005246721167355049,0.11872712063029972,0.006717136909997978
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,-0.006468274845885864,0.1527257058457897,0.006717136909997978
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,-0.004363861827343975,0.1391158839410152,0.006717136909997978
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,-0.004315476448918429,0.16304391463961443,0.021584151729922896
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,-0.0058742775931102525,0.18829686594243444,0.021586164712561806
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,-0.004025685899707747,0.14508340631770333,0.0
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-minCDR,-0.005877780642126643,0.1909694854865851,0.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_300f,-0.009384664720791566,0.17998470142640577,0.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_400f,-0.008909119385974898,0.17959346791959002,0.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f,-0.008476059916802982,0.1784598923720212,0.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV,-0.019696112242934036,0.26641038039612774,0.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV_NDCp,-0.01870472652950758,0.2582835181872941,0.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f,-0.007958107896602333,0.1765346343269915,0.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,-0.006721928808602881,0.16736103928645235,0.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,-0.00650676981459615,0.16432278285180596,0.0
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,-0.007675163236642732,0.1757942022061989,0.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,-0.0028292731417424513,0.15939336249733882,0.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,-0.0028003777634871344,0.16025596390941566,0.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,-0.007899014162437608,0.19494964870764692,0.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,-0.0027111720306355683,0.16234428750684415,0.0
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,-0.004522305907450924,0.1843795108319325,0.0
