Model,Scenario,Region,Variable,Unit,2000,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,World,Capacity|Electricity|Wind|Offshore,GW,0.0,0.0,0.0,12.00794,35.96668656624293,40.66347312874294,52.65231731417595,61.26025065080395,68.49343748472145,197.9333099022897,345.859626047926,526.9524568149452,650.0725467970567,,887.9235326971697,,744.6936537798624,,698.5664726145278,,1299.909123108793
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,World,Capacity|Electricity|Wind|Onshore,GW,0.0,0.0,0.0,425.1726569863089,672.7792992789357,1821.671240407477,2829.367332198599,4420.679649065273,5999.738767494695,7163.92711149343,8037.908510693287,8951.961038789006,9791.693250152131,,11100.45774269842,,10799.4816632812,,11259.3510087387,,13622.71479986015
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,World,Capacity|Electricity|Wind|Offshore,GW,0.0,0.0,0.0,12.00794,35.96668656624293,40.66347312874294,52.65231731417595,60.93335025427851,67.56583233604988,117.4749932064685,183.3552205522321,328.7395190034294,477.0180728989861,,848.8279286402291,,749.4858135915251,,717.4332251338565,,1439.820578892976
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,World,Capacity|Electricity|Wind|Onshore,GW,0.0,0.0,0.0,425.1726569863089,672.7792992789357,1759.885724504287,2529.145423422745,3630.715208938279,5177.928822769749,6547.929659871252,7393.70673336909,7959.280137837921,8811.15137690269,,10875.45853387738,,10886.12899150803,,11541.0262586528,,13477.0329323425
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,World,Capacity|Electricity|Wind|Offshore,GW,0.0,0.0,0.0,12.00794,35.96668656624293,260.6478998375649,359.7806820194443,394.9145337419426,520.6887416873803,482.6137143821536,572.0654808106073,628.9289408253937,539.2406336964721,,382.837903965999,,371.199023593532,,533.0799956186515,,942.7898647223204
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,World,Capacity|Electricity|Wind|Onshore,GW,0.0,0.0,0.0,425.1726569863089,672.7792992789357,2144.115756051993,4251.627941133584,5504.72969273433,6733.614658675434,8055.706376254252,9207.848134031978,8992.398068002594,8608.760611331207,,8506.86446844518,,8515.922975433663,,9663.646849267512,,12657.86888868934
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,World,Capacity|Electricity|Wind|Offshore,GW,0.0,0.0,0.0,12.00794,35.96668656624293,40.66347312874294,52.65231731417595,60.77331756382901,67.20155287338244,114.2444901915824,179.3092859660546,294.0736089518426,433.8752610937917,,839.2830474309578,,781.5583309890831,,733.4408284636659,,1473.656586697929
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,World,Capacity|Electricity|Wind|Onshore,GW,0.0,0.0,0.0,425.1726569863089,672.7792992789357,1755.578436436663,2420.433318094536,3372.723900557143,4833.069053648302,6188.898359512443,7173.583275877609,7774.843067189733,8635.494611338097,,10807.37234880485,,10858.65273147434,,11653.3825844129,,13492.30222285116
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,World,Capacity|Electricity|Wind|Offshore,GW,0.0,0.0,0.0,12.00794,35.96668656624293,266.6324733790705,359.9743705205092,397.4706327543787,523.0807342764356,507.2766818873916,595.922646999725,685.9209956315478,586.7360237284207,,400.4357355482123,,370.2814240591682,,541.3925226658464,,938.1877242696512
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,World,Capacity|Electricity|Wind|Onshore,GW,0.0,0.0,0.0,425.1726569863089,672.7792992789357,2131.026891491362,4078.060949703111,5521.392396661767,6799.139577449677,8373.711853241137,9459.18328851842,9546.545481661582,9081.883510404708,,8796.93070730803,,9003.034113327045,,9972.634695652969,,12800.84839235631
