model,scenario,carbon_budget_share,region
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,0.8157834651521162,R10INDIA+
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE,0.827702402117778,R10INDIA+
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,0.8737584659661758,R10INDIA+
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,0.895796168537083,R10INDIA+
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,0.7365694436133319,R10INDIA+
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050,0.7818085094663586,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1000,0.6710888666513043,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,0.6710886734096769,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1000f,0.6710888666513043,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,0.6710886734096769,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1200,0.6710888666513043,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,0.6710886734096769,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1200f,0.6710888666513043,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,0.6710886734096769,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1400,0.6710888666513043,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,0.6710886734096769,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1400f,0.6710888666513043,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,0.6710886734096769,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,0.6710886734096769,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-500f,0.6710888666513043,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-600f,0.6710888666513043,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,0.6710886734096769,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-700f,0.6710888666513043,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-700f-NDCp,0.6710886734096769,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-800,0.6710888666513043,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-800-NDCp,0.6710886734096769,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-800f,0.6710888666513043,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-800f-NDCp,0.6710886734096769,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-900,0.6710888666513043,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-900-NDCp,0.6710886734096769,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-900f,0.6710888666513043,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-900f-NDCp,0.6710886734096769,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1000,0.23050961089725822,R10AFRICA
IMAGE 3.0,ENGAGE-INDCi2030-1000f,0.23106321186995116,R10AFRICA
IMAGE 3.0,ENGAGE-INDCi2030-1200,0.23072234692829824,R10AFRICA
IMAGE 3.0,ENGAGE-INDCi2030-1200f,0.22990740882633218,R10AFRICA
IMAGE 3.0,ENGAGE-INDCi2030-1400f,0.22990740882633218,R10AFRICA
IMAGE 3.0,ENGAGE-INDCi2030-800f,0.2290933190590758,R10AFRICA
IMAGE 3.0,ENGAGE-NPi2020-1000,0.22559636813459086,R10AFRICA
IMAGE 3.0,ENGAGE-NPi2020-1200,0.2265336821734436,R10AFRICA
IMAGE 3.0,ENGAGE-NPi2020-1400,0.22822469359921865,R10AFRICA
IMAGE 3.0,ENGAGE-NPi2020-1400f,0.2260312701240421,R10AFRICA
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,0.14243795960288425,R10AFRICA
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,0.13476294884300816,R10AFRICA
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,0.13943507139639874,R10AFRICA
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,0.15260952680251522,R10AFRICA
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,0.14021857403717128,R10AFRICA
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,0.140768771314634,R10AFRICA
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,0.15322366274170238,R10AFRICA
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,0.15779906388770573,R10AFRICA
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,0.1480627743438175,R10AFRICA
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,0.16139519395044258,R10AFRICA
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,0.14633763561298344,R10AFRICA
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,0.1466716710429062,R10AFRICA
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,0.1570807333186136,R10AFRICA
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,0.17574403008537123,R10AFRICA
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,0.1742976950426212,R10AFRICA
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,0.1833983007727127,R10AFRICA
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,0.1813999029234975,R10AFRICA
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,0.18210911082854286,R10AFRICA
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,0.16927291490380314,R10AFRICA
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,0.18094453069136568,R10AFRICA
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,0.16327132554069188,R10AFRICA
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),0.16770758848179237,R10AFRICA
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,0.15776979309842404,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,0.11635161321930484,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,0.10359112746213642,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,0.09381082970395917,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,0.09865743904007898,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,0.11635161321930484,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV,0.10359112746213642,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,0.09381082970395917,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp,0.09865743904007898,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200,0.11635161321930484,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200f,0.11635161321930484,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-300f,0.11635161321930484,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-400f,0.11635161321930484,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-500f,0.11635161321930484,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f,0.11635161321930484,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV,0.10359112746213642,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV-NDCp,0.09381082970395917,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-NDCp,0.09865743904007898,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-700f,0.11635161321930484,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-800f,0.11635161321930484,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900,0.11635161321930484,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900f,0.11635161321930484,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f,0.1051112675588986,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f-COV,0.09574123686777841,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-NPi2020-1200f,0.10621594533577072,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-NPi2020-900f,0.10392714340883215,R10AFRICA
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Delayed Transition,0.23294733993353364,R10AFRICA
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150,0.1341411200724397,R10AFRICA
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150-with-OAE,0.1341411200724397,R10AFRICA
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,0.1341411200724397,R10AFRICA
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,0.1341411200724397,R10AFRICA
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,0.11916244081675066,R10AFRICA
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE,0.11847825571237279,R10AFRICA
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,0.12509447459919495,R10AFRICA
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,0.1596220234634692,R10AFRICA
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,0.11791178028748571,R10AFRICA
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050,0.11538467991535935,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-1000,0.15593550221990232,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,0.14544014737578886,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-1000f,0.15593550221990232,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,0.14544014737578886,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-1200,0.15593550221990232,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,0.14544014737578886,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-1200f,0.15593550221990232,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,0.14544014737578886,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-1400,0.15593550221990232,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,0.14544014737578886,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-1400f,0.15593550221990232,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,0.14544014737578886,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,0.14544014737578886,R10AFRICA
