model,scenario,final_demand_reduction,electrification,share_food_crop,transition_speed_score,Region
MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies,0.22744994431668944,0.31796601255078866,0.29427882430456104,0.8396947811720392,R10CHINA+
MESSAGEix-GLOBIOM_1.1,NGFS2_Net-Zero 2050,0.20173948366277358,0.25118302608117143,0.29366445534064095,0.746586965084586,R10CHINA+
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,0.0,0.20560410069503812,0.14847048038457486,0.354074581079613,R10CHINA+
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,0.08262280723298275,0.2553456378479027,0.14847048038457486,0.4864389254654603,R10CHINA+
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,0.0,0.14702303064512098,0.14847048038457486,0.29549351102969584,R10CHINA+
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,0.0,0.20310571163282565,0.14847048038457486,0.35157619201740054,R10CHINA+
REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,0.0,0.1305503151447458,0.14847048038457486,0.2790207955293207,R10CHINA+
REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,0.0,0.15949879843434459,0.14847048038457486,0.30796927881891945,R10CHINA+
REMIND-MAgPIE 1.7-3.0,CO_Bridge,0.0,0.12876508049389657,0.14847048038457486,0.27723556087847145,R10CHINA+
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,0.059671513872478654,0.1620113026318033,0.14847048038457486,0.3701532968888568,R10CHINA+
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,0.014298554663653503,0.16378416123944153,0.14847048038457486,0.3265531962876699,R10CHINA+
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,0.0,0.1680319623662922,0.14847048038457486,0.31650244275086703,R10CHINA+
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,0.0,0.22431479322471623,0.14847048038457486,0.3727852736092911,R10CHINA+
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,0.1271584767005054,0.18542905326765852,0.14847048038457486,0.46105801035273875,R10CHINA+
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,0.0,0.15949879843434459,0.14847048038457486,0.30796927881891945,R10CHINA+
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff,0.0,0.1305503151447458,0.14847048038457486,0.2790207955293207,R10CHINA+
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,0.0,0.11511901415123674,0.14847048038457486,0.2635894945358116,R10CHINA+
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,0.0,0.13750621474862706,0.14847048038457486,0.2859766951332019,R10CHINA+
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,0.09574689317860875,0.19076338491293465,0.14847048038457486,0.4349807584761183,R10CHINA+
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff,0.00373985185527237,0.15433393508299095,0.14847048038457486,0.3065442673228382,R10CHINA+
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,0.00577983207604263,0.1625721720598273,0.14847048038457486,0.3168224845204448,R10CHINA+
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,0.0026232989112956557,0.2140914089172771,0.14847048038457486,0.3651851882131476,R10CHINA+
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,0.09083407901396674,0.2785540398560907,0.1848999997226753,0.5542881185927326,R10CHINA+
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,0.08873528233039771,0.2952143244783388,0.18556579246441302,0.5695153992731494,R10CHINA+
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,0.0,0.14264219185002572,0.0,0.14264219185002572,R10CHINA+
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-minCDR,0.07862426922583252,0.36222648968095345,0.0,0.44085075890678593,R10CHINA+
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_300f,0.19223653512870825,0.19977192964321488,0.0,0.39200846477192314,R10CHINA+
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_400f,0.17763042602957635,0.18518154099096795,0.0,0.3628119670205443,R10CHINA+
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f,0.16789786926930025,0.1744404301125258,0.0,0.34233829938182603,R10CHINA+
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV,0.5315875831448905,0.3612129399606592,0.0,0.8928005231055497,R10CHINA+
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV_NDCp,0.5062408232878035,0.3683653453675625,0.0,0.874606168655366,R10CHINA+
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f,0.15656382926533444,0.16159049719664378,0.0,0.3181543264619782,R10CHINA+
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,0.1313755869881912,0.13345295903495413,0.0,0.2648285460231453,R10CHINA+
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,0.135678695178701,0.13536513972886924,0.0,0.2710438349075702,R10CHINA+
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,0.15867491839182402,0.16172512644961315,0.0,0.32040004484143714,R10CHINA+
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,0.05674942558961813,0.21091851467772366,0.0,0.2676679402673418,R10CHINA+
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,0.05405045252577725,0.18761538177669249,0.0,0.24166583430246974,R10CHINA+
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,0.11611249120893316,0.2122411059943763,0.0,0.3283535972033095,R10CHINA+
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,0.0445230125888043,0.16452268695912667,0.0,0.20904569954793095,R10CHINA+
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,0.0689583083075375,0.1502552708608315,0.0,0.21921357916836903,R10CHINA+
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,0.0367215128612563,0.15037904116312176,0.0,0.18710055402437806,R10CHINA+
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,0.060101104494652086,0.18659887397507183,0.0,0.2466999784697239,R10CHINA+
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,0.04231707461767386,0.1367898954432364,0.0,0.17910697006091025,R10CHINA+
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,0.026183896421956173,0.15091540941626108,0.0,0.17709930583821726,R10CHINA+
