model,scenario,final_energy_demand,energy_diversity,gini_coefficient,resilience_score,Region
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,0.2549265586400376,0.15701037436016574,0.3332210976709425,0.7451580306711458,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,0.2609326988313168,0.14697793941052284,0.3332210976709425,0.7411317359127821,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,0.23469919569300068,0.19840620042782728,0.3332210976709425,0.7663264937917704,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV,0.2529320445506862,0.17291301556153957,0.3332210976709425,0.7590661577831683,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,0.2553004510914888,0.15963841274017723,0.3332210976709425,0.7481599615026084,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp,0.2477015751977368,0.1625993261583608,0.3332210976709425,0.7435219990270401,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200,0.24830401092182072,0.1312498157756797,0.3332210976709425,0.7127749243684429,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200f,0.2492705317697055,0.1352488943362762,0.3332210976709425,0.7177405237769242,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-300f,0.24214821895358954,0.33870953549454963,0.3332210976709425,0.9140788521190817,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-400f,0.23877850897043942,0.32757100336484934,0.3332210976709425,0.8995706100062313,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-500f,0.21360222395996134,0.25983892255272706,0.3332210976709425,0.8066622441836309,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f,0.21302161043611878,0.25507653232331956,0.3332210976709425,0.8013192404303808,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV,0.2356124647976104,0.3111186037376514,0.3332210976709425,0.8799521662062042,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV-NDCp,0.23480540981621212,0.3492703938897437,0.3332210976709425,0.9172969013768983,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-NDCp,0.21954356104828424,0.22453669695967093,0.3332210976709425,0.7773013556788977,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-700f,0.21513504622731472,0.2500377118235124,0.3332210976709425,0.7983938557217696,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-800f,0.22157275873645516,0.2509903191233774,0.3332210976709425,0.8057841755307751,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900,0.32381824810348575,0.18767687573519612,0.3332210976709425,0.8447162215096244,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900f,0.22663931296989787,0.22881333415309846,0.3332210976709425,0.7886737447939388,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f,0.2480503348156427,0.1584025526476144,0.3332210976709425,0.7396739851341996,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f-COV,0.26055114571250637,0.14828783115116054,0.3332210976709425,0.7420600745346093,R10INDIA+
