,scenario,model,mean_value,mean_value_2050,region
110,SSP2_SPA1_19I_LIRE_LB,IMAGE 3.2,0.8146288220294108,1.3506078877531953,R10INDIA+
111,SSP2_SPA1_19I_RE_LB,IMAGE 3.2,0.8804929417382243,1.4016188998997703,R10INDIA+
112,SSP2_SPA2_19I_D,IMAGE 3.2,0.758091689537411,1.1228281267338258,R10INDIA+
113,SSP2_SPA2_19I_LI,IMAGE 3.2,0.6775165795989754,1.067782158640418,R10INDIA+
114,SSP2_SPA2_19I_LIRE,IMAGE 3.2,0.8606700176983269,1.3123004146329096,R10INDIA+
115,SSP2_SPA2_19I_RE,IMAGE 3.2,0.9048475222715067,1.4560400741945123,R10INDIA+
116,EN_INDCi2030_600f_COV,MESSAGEix-GLOBIOM_1.1,0.6073737850436125,0.860188391125087,R10INDIA+
117,EN_INDCi2030_600f_COV_NDCp,MESSAGEix-GLOBIOM_1.1,0.6124253587661126,0.8708971211204248,R10INDIA+
118,EN_INDCi2030_700f,MESSAGEix-GLOBIOM_1.1,0.5755810872448524,0.8174122507369515,R10INDIA+
119,EN_INDCi2030_700f_COV,MESSAGEix-GLOBIOM_1.1,0.6103381136108912,0.8419458808539488,R10INDIA+
120,EN_INDCi2030_700f_COV_NDCp,MESSAGEix-GLOBIOM_1.1,0.6066856614480634,0.8335407733143836,R10INDIA+
121,EN_INDCi2030_700f_NDCp,MESSAGEix-GLOBIOM_1.1,0.5786960085528216,0.82341787475,R10INDIA+
122,EN_NPi2020_200f,MESSAGEix-GLOBIOM_1.1,0.6989907568656313,1.0559691656796604,R10INDIA+
123,EN_NPi2020_300f,MESSAGEix-GLOBIOM_1.1,0.6883147374076906,1.0202384069705195,R10INDIA+
124,EN_NPi2020_400f,MESSAGEix-GLOBIOM_1.1,0.633407751795429,0.9128216451912032,R10INDIA+
125,EN_NPi2020_450,MESSAGEix-GLOBIOM_1.1,0.7125000387090653,1.1790905735817323,R10INDIA+
126,EN_NPi2020_450f,MESSAGEix-GLOBIOM_1.1,0.6263589248652343,0.9001993532406236,R10INDIA+
127,EN_NPi2020_500,MESSAGEix-GLOBIOM_1.1,0.6811785597570537,1.1239430995773372,R10INDIA+
128,EN_NPi2020_500f,MESSAGEix-GLOBIOM_1.1,0.6103856395604725,0.8698307174120559,R10INDIA+
129,EN_NPi2020_600,MESSAGEix-GLOBIOM_1.1,0.6522134492896642,1.0485955124664417,R10INDIA+
130,EN_NPi2020_600_COV,MESSAGEix-GLOBIOM_1.1,0.6755929888411605,1.0584828613706019,R10INDIA+
131,EN_NPi2020_600_DR10p,MESSAGEix-GLOBIOM_1.1,0.6254093721470831,1.0177044340956314,R10INDIA+
132,EN_NPi2020_600_DR1p,MESSAGEix-GLOBIOM_1.1,0.7288461177127812,1.1544917361345601,R10INDIA+
133,EN_NPi2020_600_DR2p,MESSAGEix-GLOBIOM_1.1,0.715174542696805,1.1535076104882942,R10INDIA+
134,EN_NPi2020_600_DR3p,MESSAGEix-GLOBIOM_1.1,0.6896916882661469,1.1144638582119217,R10INDIA+
135,EN_NPi2020_600_DR4p,MESSAGEix-GLOBIOM_1.1,0.6693102173904432,1.0761381082685433,R10INDIA+
136,EN_NPi2020_600f,MESSAGEix-GLOBIOM_1.1,0.5991233571038128,0.8412264086219081,R10INDIA+
137,EN_NPi2020_600f_COV,MESSAGEix-GLOBIOM_1.1,0.6364854247598546,0.8648523971999995,R10INDIA+
138,EN_NPi2020_600f_DR10p,MESSAGEix-GLOBIOM_1.1,0.4792819361805175,0.7196519775478504,R10INDIA+
139,EN_NPi2020_600f_DR1p,MESSAGEix-GLOBIOM_1.1,0.7028871495085107,1.070010701968227,R10INDIA+
140,EN_NPi2020_600f_DR2p,MESSAGEix-GLOBIOM_1.1,0.6698147980768299,0.9946248679198547,R10INDIA+
141,EN_NPi2020_600f_DR3p,MESSAGEix-GLOBIOM_1.1,0.6468984073815939,0.9468005242012532,R10INDIA+
142,EN_NPi2020_600f_DR4p,MESSAGEix-GLOBIOM_1.1,0.6148897919506745,0.8701754637648383,R10INDIA+
