model,scenario,CDR_2050,flexibility_scores,shannon_index,carbon_budgets,robustness_score
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,0.04101898559822618,0.46221234647653053,0.8971153725287547,1.0,2.4003467046035114
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,0.03445731891894288,0.4585687645723235,0.9001927242627569,1.0,2.3932188077540233
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,0.036917434942213244,0.28935834331073107,1.0,0.6714769974321613,1.9977527756851055
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE,0.03745046031182086,0.29075128562529146,0.9989654834169213,0.6801559031740725,2.007323132528106
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,0.06424085792393124,0.3245916544362129,0.9456237554016423,0.6548749032651617,1.9893311710269483
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,0.06509773588782902,0.4031946842048272,0.9056694608528745,0.9929436530088582,2.3669055339543887
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,0.11518325570673199,0.2541424525980878,0.8379854080289129,0.0,1.2073111163337327
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050,0.19190223512894664,0.0,0.9828146713054834,0.1371876090925377,1.3119045155269677
WITCH 5.0,ENGAGE-INDCi2030-1000,0.1423425251680915,0.5657461979319693,0.31996104334682485,0.40519454568718516,1.4332443121340708
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,0.14526753799316552,0.547271906889202,0.34778739101322376,0.2917780070173156,1.332104842912907
WITCH 5.0,ENGAGE-INDCi2030-1000f,0.1340802357459025,0.5777459189483198,0.33918404063040236,0.40519454568718516,1.45620474101181
WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,0.13568981415641101,0.5627599955649055,0.3860632613768155,0.2917780070173156,1.3762910781154476
WITCH 5.0,ENGAGE-INDCi2030-1200,0.12496296901226654,0.5862790290191107,0.3882280135768938,0.40519454568718516,1.504664557295456
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,0.12897749410196202,0.5709672845378277,0.4055753652230058,0.2917780070173156,1.3972981508801112
WITCH 5.0,ENGAGE-INDCi2030-1200f,0.12411754068406507,0.5930128711957874,0.38617856126720734,0.40519454568718516,1.508503518834245
