model,scenario,final_energy_demand,energy_diversity,gini_coefficient,resilience_score,Region
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,0.32798129203450327,0.09139957378879342,0.0,0.4193808658232967,R10INDIA+
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,0.21691014804152833,0.15707013597196914,0.0,0.3739802840134975,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,0.3807097093100257,0.0,0.0,0.3807097093100257,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,0.34088126640027205,0.0860288744521658,0.0,0.42691014085243784,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,0.3718089823981375,0.0875021825148401,0.0,0.4593111649129776,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,0.3150612067198146,0.0631118874081301,0.0,0.3781730941279447,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,0.3129494922211948,0.07553715480831419,0.0,0.38848664702950897,R10INDIA+
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,0.36366023982425016,0.05411234498281626,0.0,0.4177725848070664,R10INDIA+
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,0.31089006995351276,0.2599959390086439,0.0,0.5708860089621566,R10INDIA+
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,0.2833039546885727,0.2928882373142496,0.0,0.5761921920028223,R10INDIA+
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,0.3413353932881357,0.0720836624438764,0.0,0.4134190557320121,R10INDIA+
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,0.34555135940484805,0.09646733845591692,0.0,0.442018697860765,R10INDIA+
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,0.3161291194593758,0.1670080114953457,0.0,0.48313713095472144,R10INDIA+
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,0.1424649698601581,0.69602071176622,0.0,0.8384856816263782,R10INDIA+
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,0.14422042618052633,0.6464294779923233,0.0,0.7906499041728496,R10INDIA+
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,0.0,0.7903688265804605,0.0,0.7903688265804605,R10INDIA+
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),0.13913481604136155,0.3826663837090265,0.0,0.5218011997503881,R10INDIA+
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,0.11559505017182298,1.0,0.0,1.115595050171823,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,0.38313673798885706,0.2383492556413619,0.0,0.621485993630219,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,0.3960257402343969,0.2230249567789283,0.0,0.6190506970133252,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,0.39593276418604045,0.22056647981688318,0.0,0.6164992440029237,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,0.40526104955853426,0.20647302344591356,0.0,0.6117340730044478,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,0.36451714485418757,0.27871888963097335,0.0,0.6432360344851609,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV,0.39283503486031734,0.24290633859291483,0.0,0.6357413734532322,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,0.39651346583047126,0.2242583197775544,0.0,0.6207717856080257,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp,0.3847114631149826,0.22841777900025026,0.0,0.6131292421152329,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200,0.38564712098740445,0.18437832506436383,0.0,0.5700254460517683,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200f,0.38714824850031615,0.1899961874777008,0.0,0.5771444359780169,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-300f,0.3760864077265413,0.4758155009112457,0.0,0.851901908637787,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-400f,0.37085282753289095,0.4601682111561138,0.0,0.8310210386890047,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-500f,0.33175091453759,0.3650189148355219,0.0,0.6967698293731119,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f,0.3308491492658774,0.35832876042569184,0.0,0.6891779096915692,R10INDIA+
