model,scenario,economic_score,environmental_score,resource_score,resilience_score,robustness_score,fairness_score,transition_speed_score
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,0.0859726151674892,0.8147973706979053,0.3134387300349896,0.6900898410883942,0.243217605999867,0.3465995265342343,0.29050251967817503
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,0.0734382845574958,0.7117990094806229,0.30908033846615995,0.6966997100525875,0.16472086718169865,0.2907822503169639,0.3849045873148467
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,0.0968971058050528,0.7009025563152672,0.0,0.664298833141074,0.153587758661625,0.4154233155601295,0.408455032586346
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,0.0711984267939144,0.8333946073447293,0.0,0.6837770582354157,0.32685230588973047,0.44469774845563265,0.27040688969438764
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,0.1012296351847301,0.8182028239138371,0.0,0.6598935776636776,0.2990618492930656,0.548667498271193,0.27826779235612636
MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies,0.0402946725225933,0.7763923466095959,0.0,0.6680857817347171,0.09528242077194399,0.2860573497263321,0.5725876083846474
MESSAGEix-GLOBIOM_1.1,NGFS2_Net-Zero 2050,0.0388298814135283,0.7056407888344051,0.3314826245885697,0.6744045131415378,0.07549798139130863,0.2221841693858301,0.5278763586843649
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,0.7323749724773513,0.701964936807657,0.18392280890554835,0.869206762058237,0.8016314817876654,0.8396618804594004,0.07501060113119219
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,0.8750136599004738,0.7019655691945079,0.20173903871384863,0.8882947563720084,1.0,0.8586322071654352,0.34310303640212747
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,0.7324936426823739,0.6901102615433509,0.29991573597100957,0.8899218980889813,0.49267598977194454,0.8142760066338538,0.0
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,0.837038886146273,0.6900413800217308,0.461422610741532,0.917287017957045,0.640637147120283,0.7348541271230633,0.15903220787101063
REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,0.6668237691505772,0.690167054747088,0.28598962582962656,0.8668342401529144,0.4443028091350639,0.8100746200792098,0.0013110224575750293
REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,0.6908839970521634,0.7060828454010089,0.16969193214804063,0.8514193990653771,0.7958545553166457,0.8168019199675287,0.06400562000213933
REMIND-MAgPIE 1.7-3.0,CO_Bridge,0.6449948302154057,0.7050907520445955,0.1567577832763211,0.8088923757614974,0.6207215823841804,0.7843600771117036,0.029423587701516183
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,0.8352960370005049,0.7060797077893247,0.18213564893659007,0.8660997805872575,0.9867861181844225,0.8638120043968172,0.33012267140656426
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,0.7802016375646559,0.6900522278884831,0.4775227131167436,0.8892811702193736,0.5470523573502668,0.7299049511209867,0.1718973173952611
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,0.7888773064321541,0.705078031339861,0.17171099180429386,0.8599596894023782,0.8031382210467994,0.8344415111503144,0.19736907849821358
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,0.7558539934622063,0.7050797095972732,0.16151598687333638,0.8527552773730078,0.6511610609419787,0.7985160417243902,0.11661152813972711
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,1.0,0.689938738771294,0.5664592680456747,1.0,0.5839527107034853,0.5427880731191671,0.6152711246967054
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,0.6908839970521634,0.7060828454010089,0.16969193214804063,0.8514193990653771,0.8250084399554408,0.8386244672006541,0.06400562000213933
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff,0.6668237691505772,0.690167054747088,0.28598962582962656,0.8668342401529144,0.47286238538555897,0.8319217611347054,0.0013110224575750293
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,0.6412115943326275,0.7050926735277195,0.15661646748890495,0.8382976475377207,0.6459587730171116,0.8152474068157611,0.012655223953928086
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,0.6199912593422999,0.7050943274625605,0.14794464508550934,0.8296138144678487,0.5013890286341284,0.7795229664542976,0.04309693978423732
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,0.8735408375936649,0.705338915238483,0.2044578837700884,0.9085075592489669,0.9545284485460326,0.8812597398302197,0.4592696507863511
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff,0.7600802311559418,0.6900079851314819,0.30920651312515357,0.9108989498792923,0.5560467157255286,0.7349094845928165,0.16499531198860987
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,0.8071065507719781,0.7055018034977663,0.19569207559034435,0.8949061287716542,0.7712414757051009,0.8433927516151251,0.3065300140628776
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,0.7727894557262519,0.7054973281446667,0.18328145814042202,0.8859019774627245,0.6188683237991983,0.8022436343084504,0.2007981089463237
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,0.1158226273851988,0.6963678251284595,0.4585024620223542,0.36329190014873375,0.36600178928525084,0.4583207865582505,0.4002100628898834
