model,scenario,economic_score,environmental_score,resource_score,resilience_score,robustness_score,fairness_score,transition_speed_score
POLES-JRC ENGAGE,ENGAGE-NPi2020-900f,0.3484214366470693,0.6852822496922529,0.0,0.209865663644314,0.8221808172966933,0.6452456067255128,0.37532321895349485
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Delayed Transition,0.6105590711370271,0.7975004889450393,0.0,0.492518658169764,0.8539597041597586,0.7810328517955647,0.9952374649108864
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150,0.883204511100858,0.783459410119005,0.15744512018899112,0.8962749539230527,0.9477299469406661,0.9960011481777166,0.19725292030118352
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150-with-OAE,0.8961081462608074,0.774571443990056,0.15744512018899112,0.9362639854558837,0.9474228875642376,0.9952162659536388,0.19022121081288354
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,0.9696915187304208,0.6464835941507684,0.15791273782534723,0.919565072167652,0.942824954764998,1.0,0.5098642833641501
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,1.0,0.6567301549497636,0.15821815654294757,0.9929091830124452,0.937860692901706,0.9991982954422242,0.5033080598034542
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,0.8484909923243058,0.8588325274673565,0.6558649124863933,1.0,0.6624362608873625,0.8626109664077255,0.2262293589709954
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE,0.8481542428331081,0.8569261883389557,0.6555993229430576,0.9996718270746242,0.6691015870694063,0.8586228797285044,0.23295254484174371
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,0.6619664643576032,0.10013253797624219,0.6616730030037807,0.7774031169198685,0.6565709893051547,0.6919114539835175,0.30679846627553325
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,0.6999081401771586,0.735020122087486,0.19380072400384843,0.7627049432458318,0.9195346727052629,0.8512373594472497,0.6510780217382102
