model,scenario,investment_score,investment_score_2050,Region
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,0.34821891597547133,0.3708036208778709,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp,0.385742085094334,0.39808553698312604,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200,0.34399324414714105,0.4105004240154482,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200f,0.3254285231403855,0.3643876802588984,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-300f,0.5594911066643314,0.5169848003115725,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-400f,0.5511279588428815,0.5301735207095237,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-500f,0.5375371030923681,0.521925501706603,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f,0.5251826530672447,0.5241910732432637,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV,0.4887805757937747,0.5078870436778087,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV-NDCp,0.5266156845655048,0.5275295343642309,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-NDCp,0.5234581913233534,0.5494638029826301,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-700f,0.5127154069569245,0.5275525794372581,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-800f,0.4868551219570379,0.5210007052475303,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900,0.509256928324261,0.5227614866751094,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900f,0.5687914994499701,0.47299301510328834,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f,0.3638482951638238,0.4030080030367843,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f-COV,0.34068789468225247,0.3651314953706335,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-NPi2020-1200f,0.3310968545402938,0.37482720354517796,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-NPi2020-900f,0.38904593757703926,0.42086943169003305,R10INDIA+
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Delayed Transition,0.705798124685962,0.7731665989821327,R10INDIA+
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150,0.9685229888799,0.9439644935327817,R10INDIA+
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150-with-OAE,0.9666375774123747,0.9436591844834944,R10INDIA+
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,1.0,0.9873616722280955,R10INDIA+
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,0.9953649769461398,0.9850682962668681,R10INDIA+
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,0.8993305583919378,0.9997993093988183,R10INDIA+
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE,0.899607910293326,1.0,R10INDIA+
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,0.65235603670916,0.7872665945207652,R10INDIA+
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,0.7007801545498735,0.8106115557234606,R10INDIA+
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,0.5226417371584402,0.6517535915524381,R10INDIA+
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050,0.7662768519193836,0.9794583264922216,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1000,0.1872801799615725,0.2265843274234224,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,0.1853438546175263,0.22542433369005727,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1000f,0.18255919433432855,0.21947697126017435,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,0.181663038822419,0.21670117690799212,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1200,0.18110085449308982,0.21670766577423536,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,0.18169366626233427,0.21608672846644209,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1200f,0.17945231560585648,0.2152291052225669,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,0.17800492053250339,0.2137493005124264,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1400,0.17841589577237668,0.2132794277261694,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,0.17736092881943777,0.21185474953561545,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1400f,0.1768130453728071,0.21179007135129022,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,0.17626563559894126,0.21146822779587535,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,0.17751803792467394,0.21497068485103246,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-500f,0.2022816967512097,0.23481825474702575,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-600f,0.19913264006412454,0.2336056951119797,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,0.19668980100203465,0.22993702448114473,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-700f,0.19395449598868758,0.2281421691721591,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-700f-NDCp,0.19147609331899293,0.2262769590547662,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-800,0.19057006649765396,0.23589658232346097,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-800-NDCp,0.18848970598390102,0.23383546960327964,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-800f,0.19014726386452052,0.22606797680607865,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-800f-NDCp,0.18864533491486316,0.22552868528952058,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-900,0.1895843354752495,0.23259948698093635,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-900-NDCp,0.18449720410799722,0.22852006610700926,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-900f,0.18654242270145463,0.22655589656199282,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-900f-NDCp,0.18574355241660997,0.226839530096439,R10INDIA+
IMAGE 3.0,ENGAGE-INDCi2030-1000,0.16318189371871675,0.2541011890703354,R10AFRICA
IMAGE 3.0,ENGAGE-INDCi2030-1000f,0.1743067331099709,0.23066556768896299,R10AFRICA
IMAGE 3.0,ENGAGE-INDCi2030-1200,0.15185648895264917,0.23028232754650163,R10AFRICA
IMAGE 3.0,ENGAGE-INDCi2030-1200f,0.15766677843247912,0.2330507106078337,R10AFRICA
IMAGE 3.0,ENGAGE-INDCi2030-1400f,0.16275299827914885,0.23803406373323838,R10AFRICA
IMAGE 3.0,ENGAGE-INDCi2030-800f,0.17894599983144188,0.2492746238849319,R10AFRICA
IMAGE 3.0,ENGAGE-NPi2020-1000,0.15737477963199814,0.24521158753918018,R10AFRICA
IMAGE 3.0,ENGAGE-NPi2020-1200,0.15456370238202252,0.2381512925051294,R10AFRICA
IMAGE 3.0,ENGAGE-NPi2020-1400,0.16066924387481984,0.2493530829468039,R10AFRICA
IMAGE 3.0,ENGAGE-NPi2020-1400f,0.16329251400638473,0.24805506279621709,R10AFRICA
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Default,0.18862569551508473,0.3394610074809841,R10AFRICA
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,0.27595479396540235,0.3973187737370572,R10AFRICA
IMAGE 3.2,SSP2021-SSP1-SPA1-19-Renewables,0.2468737055506335,0.40922070462340865,R10AFRICA
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Default,0.18666182920420646,0.3435430382291761,R10AFRICA
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle,0.17232705314286012,0.3315862649280282,R10AFRICA
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,0.2544201360560411,0.3885120512503772,R10AFRICA
IMAGE 3.2,SSP2021-SSP1-SPA1-26-Renewables,0.23791457208451638,0.4068409246075773,R10AFRICA
IMAGE 3.2,SSP2021-SSP2-SPA0-26-Default,0.3139002272702259,0.46773518206320386,R10AFRICA
IMAGE 3.2,SSP2021-SSP2-SPA2-19-Renewables,0.3615125715207955,0.5157748038903387,R10AFRICA
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Default,0.23199097673103466,0.37532775221274234,R10AFRICA
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle,0.20233431753855752,0.345207281451819,R10AFRICA
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,0.25955475028438546,0.3974972803627531,R10AFRICA
IMAGE 3.2,SSP2021-SSP2-SPA2-26-Renewables,0.3068693493036185,0.44099364113595496,R10AFRICA
IMAGE 3.3,NAVIGATE Demand-1.5°C-ele_u,0.3027353891209111,0.46922056825702363,R10AFRICA
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,0.28486022497421004,0.4521335908801484,R10AFRICA
IMAGE 3.3,NAVIGATE Demand-2.0°C-ele_u,0.29001002146868515,0.46583211507777006,R10AFRICA
IMAGE 3.3,NAVIGATE Demand-2.0°C-ref,0.27146628851112686,0.4543521359800596,R10AFRICA
IMAGE 3.3,NAVIGATE Demand-2.0°C-tec_u,0.2703555302975555,0.4505749151748508,R10AFRICA
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Below 2°C,0.22085934496019638,0.32317586919333,R10AFRICA
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,0.20798357575451934,0.29615211343976183,R10AFRICA
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,0.12838562248061056,0.284097459500562,R10AFRICA
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),0.2056145369509914,0.3078509506570752,R10AFRICA
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,0.25147224861685813,0.37922724823837023,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,0.17739493146071408,0.24036658576241526,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,0.1809610396076795,0.2419469413940513,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,0.2323515541351057,0.2382732856023704,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,0.15980763734443648,0.21545293389790032,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,0.17783810713314532,0.2019066679048195,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV,0.15728034701208385,0.1704865079218498,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,0.1618868817179657,0.1851432167189895,R10AFRICA
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp,0.14919906523219734,0.15729524579521736,R10AFRICA
