model,scenario,flexibility_score,region
POLES-JRC ENGAGE,ENGAGE-INDCi2030-400f,37.715117619908156,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-500f,37.73606633859399,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f,37.763174347474305,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV,37.835246354437125,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV-NDCp,37.80420941241,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-NDCp,37.92672688211048,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-700f,37.79713363382214,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-800f,37.83662654383669,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900,37.71894707456811,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900f,37.94995623033709,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f,38.30738474065462,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f-COV,38.431987387897664,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-NPi2020-1200f,38.4558446005218,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-NPi2020-900f,38.13134885927102,R10INDIA+
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Delayed Transition,37.87210244092296,R10INDIA+
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150,38.1509487925781,R10INDIA+
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150-with-OAE,38.15338572331986,R10INDIA+
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,37.9666364971346,R10INDIA+
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,37.9603732244981,R10INDIA+
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,37.50374427660036,R10INDIA+
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE,37.514608340793714,R10INDIA+
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,37.624355176163206,R10INDIA+
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,37.90001951308781,R10INDIA+
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,37.4475678379727,R10INDIA+
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050,36.30940080713702,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1000,38.38104179516454,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,38.38512677180416,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1000f,38.43011320767978,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,38.43658217888884,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1200,38.45191727290168,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,38.45268307934949,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1200f,38.47291284885105,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,38.47721164821383,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1400,38.504104404236166,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,38.50459636057918,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1400f,38.510876195302316,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,38.52080171118619,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,38.547213672710626,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-500f,38.230080219166105,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-600f,38.27651009856853,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,38.29155562424811,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-700f,38.321546362320184,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-700f-NDCp,38.337167420417586,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-800,38.239906377887934,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-800-NDCp,38.25133427516503,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-800f,38.36318877291538,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-800f-NDCp,38.37618150749414,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-900,38.3154688112408,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-900-NDCp,38.33043156837709,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-900f,38.39679663359751,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-900f-NDCp,38.40405061910451,R10INDIA+
