model,scenario,Final energy per cap reductions,Share of final energy from electricity,Share of food demand from crops,region
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,0.0,0.15628757786761954,0.0,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,0.0,0.1456239033868859,0.0,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,0.0,0.15275865473843192,0.0,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,0.0,0.14459951932991466,0.0,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,-0.002953497115499061,0.1465170232459701,0.09148134968409516,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,-0.0001234273889612822,0.16932815683974206,0.027886900358572775,R10LATIN_AM
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,0.0,0.16462446269307385,0.0,R10LATIN_AM
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,-0.00666402431521089,0.23247725453675322,0.0,R10LATIN_AM
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,-0.0032792361905445225,0.11959322029529731,0.0,R10LATIN_AM
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,-0.005852568406851791,0.12924616014953016,0.0,R10LATIN_AM
WITCH 5.0,EN_INDCi2030_500f,-0.009447936203524937,0.19304878266755743,0.01722089727519127,R10LATIN_AM
WITCH 5.0,EN_NPi2020_400f,-0.008718575416926028,0.18137470289970492,0.01323590743701819,R10LATIN_AM
WITCH 5.0,EN_NPi2020_450,-0.012250033749166393,0.19719455633267963,0.013513778579289482,R10LATIN_AM
WITCH 5.0,EN_NPi2020_450f,-0.008154874359988275,0.17762343072248898,0.012416044447985053,R10LATIN_AM
WITCH 5.0,EN_NPi2020_500,-0.010934554029981593,0.2141303911386101,0.013262036832218937,R10LATIN_AM
WITCH 5.0,EN_NPi2020_500f,-0.00754144325959398,0.1758712750410013,0.011539745225970122,R10LATIN_AM
IMAGE 3.2,SSP1_SPA1_19I_D,0.0,0.09554432012816089,0.0019358409257235198,R10INDIA+
IMAGE 3.2,SSP1_SPA1_19I_D_LB,0.0,0.13339612586133212,0.0019358409257235198,R10INDIA+
IMAGE 3.2,SSP1_SPA1_19I_LI,0.0,0.107982381601887,0.0038916858344173466,R10INDIA+
IMAGE 3.2,SSP1_SPA1_19I_LIRE,0.0,0.12481732339688428,0.0038916858344173466,R10INDIA+
IMAGE 3.2,SSP1_SPA1_19I_LIRE_LB,0.0,0.12344421795435459,0.0038916858344173466,R10INDIA+
IMAGE 3.2,SSP1_SPA1_19I_RE,0.0,0.12325101886628481,0.001912076858178069,R10INDIA+
IMAGE 3.2,SSP1_SPA1_19I_RE_LB,0.0,0.14881859926700308,0.0019358409257235198,R10INDIA+
IMAGE 3.2,SSP2_SPA1_19I_D_LB,0.0,0.11114816388222215,0.001700070022543465,R10INDIA+
IMAGE 3.2,SSP2_SPA1_19I_LIRE_LB,0.0,0.12305142357201729,0.001848091834180332,R10INDIA+
IMAGE 3.2,SSP2_SPA1_19I_RE_LB,0.0,0.12035290451780889,0.001700070022543465,R10INDIA+
IMAGE 3.2,SSP2_SPA2_19I_D,0.0,0.09209721704704721,0.001700070022543465,R10INDIA+
IMAGE 3.2,SSP2_SPA2_19I_LI,0.0,0.11958147280281667,0.001848091834180332,R10INDIA+
IMAGE 3.2,SSP2_SPA2_19I_LIRE,0.0,0.11343978146335787,0.001848091834180332,R10INDIA+
IMAGE 3.2,SSP2_SPA2_19I_RE,0.0,0.12137124394556442,0.001935367861643722,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV,-0.002812348104249702,0.12834347278080915,0.031956839892320454,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_600f_COV_NDCp,-0.0027111478162525383,0.13020840564677244,0.028306890481032854,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f,-0.002619568233209968,0.13785356815122346,0.027367283005115706,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV,-0.0014651568810305701,0.11851578701124704,0.02343609902887922,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_COV_NDCp,-0.0014104534568712898,0.12371682717887039,0.02343609902887922,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_INDCi2030_700f_NDCp,-0.0024510446642444263,0.13797546381108416,0.02724002455865515,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_200f,-0.0001337519055001797,0.1504114204968554,0.03044288257924288,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_300f,0.0,0.14000368875854585,0.02633615430734315,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_400f,0.0,0.11850466956359917,0.021922850826424423,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,-0.002937541536530818,0.16679775292357846,0.015136895461412392,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450f,0.0,0.11273727162046199,0.021594628859552212,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,-0.0017978099040166506,0.15318666723644714,0.013965690898388838,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500f,0.0,0.11273207106772098,0.02104818999524971,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,-0.00023951867452342082,0.15203780208741005,0.013038298491592215,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,0.0,0.14228198653787397,0.012242045019100534,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,-1.8319696899426335e-05,0.15645942685005998,0.015756324138402,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,-0.00034704985215900513,0.13789584892485446,0.010065315119351936,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,-0.00024440457917298056,0.13981987550060931,0.01144147241456639,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,-0.00024912418022382185,0.13836473418128992,0.011670207161170176,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,-0.00012182693833745484,0.14071865968989164,0.012098431125215248,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,0.0,0.11063924202582032,0.017331860571003,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,0.0,0.11491521822371215,0.016808584900849688,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,0.0,0.1282423690801074,0.03236932553509375,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,0.0,0.12293491957044425,0.008666680714370267,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,0.0,0.1158459428365099,0.009825537532736961,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,0.0,0.10714077127877081,0.01403805313680273,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,0.0,0.10712563377560202,0.016808584900849688,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,0.0,0.12853806832444542,0.011599368442546942,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,0.0,0.11721842559572435,0.011304809482126421,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,0.0,0.11059582316509853,0.016808584900849688,R10INDIA+
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,0.0,0.11225525853521207,0.015194138706742355,R10INDIA+
MESSAGEix-GLOBIOM_1.1,NGFS2_Divergent Net Zero Policies,0.0,0.14440677148714107,0.011962381111435771,R10INDIA+
MESSAGEix-GLOBIOM_1.1,NGFS2_Net-Zero 2050,0.0,0.1367428158395783,0.01185265222952292,R10INDIA+
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_1000,0.0,0.16208870997031538,0.0034000068053674504,R10INDIA+
REMIND-MAgPIE 1.7-3.0,CD-LINKS_INDC2030i_400,-0.0006857578264242749,0.18979696360991372,0.0034000068053674504,R10INDIA+
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,0.0,0.15854399855786783,0.0034000068053674504,R10INDIA+
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_400,0.0,0.17939949401714955,0.0034000068053674504,R10INDIA+
REMIND-MAgPIE 1.7-3.0,CO_2Deg2020,0.0,0.15222518507982163,0.0034000068053674504,R10INDIA+
REMIND-MAgPIE 1.7-3.0,CO_2Deg2030,0.0,0.16361038224227586,0.0034000068053674504,R10INDIA+
REMIND-MAgPIE 1.7-3.0,CO_Bridge,0.0,0.16494926922158126,0.0034000068053674504,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_NDC,0.0,0.20731283878795748,0.0034000068053674504,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_eff,0.0,0.1711207526785633,0.0034000068053674504,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,0.0,0.18792738113833318,0.0034000068053674504,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,0.0,0.18038898102304696,0.0034000068053674504,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,-0.00459796810441284,0.2686598593179078,0.0034000068053674504,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,0.0,0.16361038224227586,0.0034000068053674504,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff,0.0,0.15222518507982163,0.0034000068053674504,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,0.0,0.1557730849853612,0.0034000068053674504,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,0.0,0.14897418553676484,0.0034000068053674504,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,-0.003025018246905372,0.2402982275287905,0.0034000068053674504,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff,0.0,0.16911012697132638,0.0034000068053674504,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,0.0,0.2135955130577113,0.0034000068053674504,R10INDIA+
REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,0.0,0.20589969064464664,0.0034000068053674504,R10INDIA+
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,0.0,0.19948400642546305,0.03260355786708535,R10INDIA+
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,0.0,0.23809865593114696,0.03254826185130544,R10INDIA+
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,-0.0003752436189535732,0.18453433457552815,0.0,R10INDIA+
REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-minCDR,0.0,0.25915742954008353,0.0,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_300f,-0.0036034431623520706,0.2297325936161438,0.0,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_400f,-0.003379230489919862,0.22680707773832515,0.0,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f,-0.0032140627152400514,0.22228677134496078,0.0,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV,-0.009968439735520977,0.3461799011061595,0.0,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV_NDCp,-0.009968071159379865,0.34265976277431626,0.0,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f,-0.0029052919176315653,0.21861452015507365,0.0,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,-0.0024360238132988994,0.2115327000099918,0.0,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,-0.0025470022511291344,0.21338685840794974,0.0,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,-0.0029853450779745057,0.21884957945565653,0.0,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,0.0,0.22555836746694052,0.0,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,0.0,0.2250892295723172,0.0,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,-0.0005382184101850145,0.24025433660299123,0.0,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,0.0,0.2210371062838259,0.0,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,0.0,0.24617535083460362,0.0,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,0.0,0.2154101782347589,0.0,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,0.0,0.22683779713552815,0.0,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,0.0,0.20525351727148405,0.0,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,0.0,0.20660672298455618,0.0,R10INDIA+
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,0.0,0.18626482624114138,0.0,R10INDIA+
REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,-0.000814882863550824,0.193424460484579,0.06501292035664852,R10INDIA+
REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,0.0,0.2294564902484979,0.03257261939632272,R10INDIA+
REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,0.0,0.23466418368364325,0.0,R10INDIA+
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,-0.001366770366461819,0.2556959859546477,0.0,R10INDIA+
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,-7.348573370367928e-05,0.15199594807296257,0.0,R10INDIA+
REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,-0.0008060264730904675,0.16048172616742518,0.0,R10INDIA+
WITCH 5.0,EN_INDCi2030_500f,-0.007533455753174531,0.1980119629031456,0.010337877324678613,R10INDIA+
WITCH 5.0,EN_NPi2020_400f,-0.004852101432694303,0.15001816425444658,0.007427155326303891,R10INDIA+
WITCH 5.0,EN_NPi2020_450,-0.0074249058780351315,0.2036154159740695,0.007784738396452107,R10INDIA+
WITCH 5.0,EN_NPi2020_450f,-0.004582658178483721,0.13927040720997347,0.006317053752686652,R10INDIA+
WITCH 5.0,EN_NPi2020_500,-0.006891830247377044,0.19268838039451652,0.007468189286795268,R10INDIA+
WITCH 5.0,EN_NPi2020_500f,-0.004326692754923197,0.13812110791601528,0.00513277794500433,R10INDIA+
IMAGE 3.2,SSP1_SPA1_19I_D,-0.0004713486984993069,0.1104956406384564,0.0,R10AFRICA
IMAGE 3.2,SSP1_SPA1_19I_D_LB,-0.0017557519046801397,0.1303580225540665,0.0,R10AFRICA
IMAGE 3.2,SSP1_SPA1_19I_LI,-0.0006557853989382113,0.11023384734119604,0.0021198688959568335,R10AFRICA
IMAGE 3.2,SSP1_SPA1_19I_LIRE,-0.00046267260069698946,0.17016700577079757,0.002187041836518522,R10AFRICA
