model,scenario,Final energy per cap reductions,Share of final energy from electricity,region
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Delayed Transition,0.0,0.12922787863616225,R10INDIA+
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Low Demand,-0.0011249562468384176,0.13706602974856869,R10INDIA+
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Nationally Determined Contributions (NDCs),0.0,0.10871305136424109,R10INDIA+
MESSAGEix-GLOBIOM 2.0-M-R12-NGFS,NGFS Phase 5-Net-Zero 2050,0.0,0.13419271938586846,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000,-0.004989012358196272,0.1260686222787017,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV,-0.0033921303483164453,0.12239405665785918,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-COV-NDCp,-0.003359090295887466,0.12255501880870795,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000-NDCp,-0.004888251678778339,0.13518943814800538,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f,-0.002746795948905055,0.1272295782446104,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV,-0.002202309533457295,0.11747083869084463,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-COV-NDCp,-0.0020057705629599742,0.11695762162145878,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp,-0.0029577961467932776,0.13480080034825231,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200,-0.0022675198684046875,0.12980874853896135,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200f,-0.0013075386885825664,0.12489146124265432,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-300f,-0.006371564021898453,0.13512743200221217,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-400f,-0.006147352342879388,0.13389253568713633,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-500f,-0.005667526639755411,0.13140223150194613,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f,-0.005293620086483947,0.12845320940594468,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV,-0.004569619010980764,0.13324209103788226,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV-NDCp,-0.0045365738058419525,0.1550697123462621,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-NDCp,-0.005865190434109539,0.13571303612143532,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-700f,-0.004748274213913516,0.12146705977723493,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-800f,-0.0041868226809005996,0.12371911629784554,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900,-0.0065072074502641065,0.15378443487529037,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900f,-0.003381786988957046,0.1253011138578769,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f,0.0,0.1344335523958905,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f-COV,-0.00018841236811582493,0.1149465496979572,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-NPi2020-1200f,-4.229639641820798e-05,0.1221527797340155,R10INDIA+
POLES-JRC ENGAGE,ENGAGE-NPi2020-900f,0.0,0.14428110138197292,R10INDIA+
REMIND-MAgPIE 2.1-4.2,NGFS Phase 2-Delayed Transition,-0.005381350767431906,0.1972735734869953,R10INDIA+
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150,0.0,0.10356394437153282,R10INDIA+
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-1150-with-OAE,0.0,0.10221267202460399,R10INDIA+
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500,-0.0007711537567678603,0.1390718799237176,R10INDIA+
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-End-of-Century-Budget-500-with-OAE,-0.0008672629594433656,0.13824041677426602,R10INDIA+
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150,0.0,0.10909453900485888,R10INDIA+
REMIND-MAgPIE 3.2.0-4.8.0,RESCUE-Peak-Budget-1150-with-OAE,0.0,0.1095890203313763,R10INDIA+
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Below 2°C,-0.0008970486905012856,0.14833709965595177,R10INDIA+
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Delayed Transition,-0.002918784286716467,0.18883712171844075,R10INDIA+
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,-0.0022549615412051083,0.20105211392014483,R10INDIA+
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050,-0.0018033746957207691,0.21425102547414754,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1000,-0.004630833459534023,0.12911388904037616,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,-0.0046003042016159075,0.12604974282817175,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1000f,-0.00359889845866641,0.11819402982002392,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,-0.0034778911237373852,0.1137774422631207,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1200,-0.0032637191154079002,0.1118725876263956,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,-0.0032440211379412484,0.10885777911564462,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1200f,-0.0028600050860560083,0.10542328122921105,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,-0.00279842453632477,0.10234005631002466,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1400,-0.0023273316556987333,0.0966530090317812,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,-0.0023350975325010168,0.09539624921898804,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1400f,-0.002222169658072908,0.09424277894986752,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,-0.0016826650380091027,0.09221973052493368,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,-0.0011098430477254999,0.0799085028222753,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-500f,-0.007533455753174531,0.1980119629031456,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-600f,-0.006638387662851346,0.17436701339131655,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,-0.006286621722912052,0.16841557650257172,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-700f,-0.005673448679208347,0.1538655867560211,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-700f-NDCp,-0.00537588478506907,0.14398026513251747,R10INDIA+
WITCH 5.0,ENGAGE-INDCi2030-800,-0.007289497806683453,0.1972929134114058,R10INDIA+
