model,scenario,CDR_2050,flexibility_scores,shannon_index,carbon_budgets,robustness_score,Region
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Low Demand,0.08112732368653366,0.500656544397767,0.7112742038124089,0.00017964501076311385,1.2932377169074727,R10AFRICA
REMIND-MAgPIE 3.3-4.8,NGFS Phase 5-Net-Zero 2050,0.09661532507029595,0.2358887841297071,0.6303864735575302,0.00016080836894781476,0.963051391126481,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-1000,0.10130797665447862,0.7873721510305419,0.8133541056610906,0.000463068351769073,1.7024973016978802,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-1000-NDCp,0.1014820371624527,0.7768761604481595,0.7737015890181256,0.0003848374899862935,1.652444624118724,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-1000f,0.10087188107557686,0.7926053976022985,0.8527573955156922,0.000463068351769073,1.7466977425453367,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-1000f-NDCp,0.10095646683338666,0.7844356113575478,0.8221410064450843,0.0003848374899862935,1.707917922126005,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-1200,0.10035336836435134,0.7957307881176912,0.833400174535775,0.000463068351769073,1.7299473993695866,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-1200-NDCp,0.1005220287907297,0.7868849931491325,0.8048263124206415,0.0003848374899862935,1.69261817185049,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-1200f,0.10010511583302374,0.7985827960881061,0.8577383782682082,0.000463068351769073,1.7568893585411072,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-1200f-NDCp,0.10021868472343932,0.7912683663924085,0.8292486579815765,0.0003848374899862935,1.7211205465874106,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-1400,0.09933541930776883,0.8041884692249971,0.8624332031532159,0.000463068351769073,1.766420160037751,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-1400-NDCp,0.09951942459403995,0.796331148003229,0.8391592334473259,0.0003848374899862935,1.735394643534581,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-1400f,0.09922557988868848,0.8046300178294222,0.8617192511860065,0.000463068351769073,1.7660379172558862,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-1400f-NDCp,0.09898397453258695,0.7974700699360631,0.8400977736038346,0.0003848374899862935,1.7369366555624708,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-1600-NDCp,0.09867713129985134,0.8022621156352382,0.8462109728919871,0.0003848374899862935,1.7475350573170627,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-500f,0.10804286492350394,0.7695788770406026,0.8242580982472342,0.000463068351769073,1.7023429085631097,R10AFRICA
WITCH 5.0,ENGAGE-INDCi2030-600f,0.10758930170585707,0.7744794520451647,0.8221370920858452,0.000463068351769073,1.704668914188636,R10AFRICA
