,scenario,model,forest_change_2050,forest_change_2100,bioenergy_threshold_breached,region
186,ENGAGE-INDCi2030-900,WITCH 5.0,0.0942485207614612,0.15684866731269184,1,R10INDIA+
187,ENGAGE-INDCi2030-900-NDCp,WITCH 5.0,0.07772497149270419,0.15685836897796657,1,R10INDIA+
188,ENGAGE-INDCi2030-900f,WITCH 5.0,0.07231065036398485,0.15684866731269184,1,R10INDIA+
189,ENGAGE-INDCi2030-900f-NDCp,WITCH 5.0,0.07116408904222693,0.15685836897796657,1,R10INDIA+
190,ENGAGE-INDCi2030-1000,IMAGE 3.0,-0.001572989993727486,0.00446090777846371,0,R10AFRICA
191,ENGAGE-INDCi2030-1000f,IMAGE 3.0,-0.001421021061757441,0.004736819820512578,1,R10AFRICA
192,ENGAGE-INDCi2030-1200,IMAGE 3.0,-0.001400887218860239,0.005039683975213066,0,R10AFRICA
193,ENGAGE-INDCi2030-1200f,IMAGE 3.0,-0.001300583253647264,0.004318240779084895,0,R10AFRICA
194,ENGAGE-INDCi2030-1400f,IMAGE 3.0,-0.0013635205365493536,0.004444105518723554,1,R10AFRICA
195,ENGAGE-INDCi2030-800f,IMAGE 3.0,-0.001296578619344152,0.004839056006585074,1,R10AFRICA
196,ENGAGE-NPi2020-1000,IMAGE 3.0,-0.0013843481227296534,0.00502106282822587,0,R10AFRICA
197,ENGAGE-NPi2020-1200,IMAGE 3.0,-0.0014988362977536168,0.005062629836429022,0,R10AFRICA
198,ENGAGE-NPi2020-1400,IMAGE 3.0,-0.001387254078020872,0.004599339984064407,0,R10AFRICA
199,ENGAGE-NPi2020-1400f,IMAGE 3.0,-0.0015067146571137446,0.0043144991694426815,1,R10AFRICA
200,SSP2021-SSP1-SPA1-19-Default,IMAGE 3.2,0.02477845302043731,0.06881289043168089,1,R10AFRICA
201,SSP2021-SSP1-SPA1-19-Lifestyle-Renewables,IMAGE 3.2,0.028877405380729637,0.03301739133707311,1,R10AFRICA
202,SSP2021-SSP1-SPA1-19-Renewables,IMAGE 3.2,0.026764964291500798,0.07060523976982448,1,R10AFRICA
203,SSP2021-SSP1-SPA1-26-Default,IMAGE 3.2,0.021104221862419184,0.06012260906081056,1,R10AFRICA
204,SSP2021-SSP1-SPA1-26-Lifestyle,IMAGE 3.2,0.028858915619588588,0.03307263562033104,1,R10AFRICA
205,SSP2021-SSP1-SPA1-26-Lifestyle-Renewables,IMAGE 3.2,0.028887654540309046,0.0330287667971292,1,R10AFRICA
206,SSP2021-SSP1-SPA1-26-Renewables,IMAGE 3.2,0.02290966481167754,0.06155468136957774,0,R10AFRICA
207,SSP2021-SSP2-SPA0-26-Default,IMAGE 3.2,-0.007666609179453318,-0.008153875334663635,1,R10AFRICA
208,SSP2021-SSP2-SPA2-19-Renewables,IMAGE 3.2,0.022447387345815695,0.08004082800431747,1,R10AFRICA
209,SSP2021-SSP2-SPA2-26-Default,IMAGE 3.2,0.007023421684467443,0.0601788087278681,1,R10AFRICA
210,SSP2021-SSP2-SPA2-26-Lifestyle,IMAGE 3.2,0.015786772648573935,0.010211754126137673,1,R10AFRICA
211,SSP2021-SSP2-SPA2-26-Lifestyle-Renewables,IMAGE 3.2,0.01580997834642102,0.01014007558133212,1,R10AFRICA
212,SSP2021-SSP2-SPA2-26-Renewables,IMAGE 3.2,0.006605848935753306,0.04882499731611739,1,R10AFRICA
213,NAVIGATE Demand-1.5°C-ele_u,IMAGE 3.3,0.023774214167116087,0.08269326022304108,1,R10AFRICA
