,scenario,model,forest_change_2050,forest_change_2100,bioenergy_threshold_breached,region
82,EN_NPi2020_400,REMIND-MAgPIE 2.1-4.2,0.0,0.0,1,R10LATIN_AM
83,EN_NPi2020_400f,REMIND-MAgPIE 2.1-4.2,0.0,0.0,1,R10LATIN_AM
84,EN_NPi2020_500,REMIND-MAgPIE 2.1-4.2,0.0,0.0,1,R10LATIN_AM
85,EN_NPi2020_500f,REMIND-MAgPIE 2.1-4.2,0.0,0.0,1,R10LATIN_AM
86,EN_NPi2020_600,REMIND-MAgPIE 2.1-4.2,0.0,0.0,1,R10LATIN_AM
87,EN_NPi2020_600_COV,REMIND-MAgPIE 2.1-4.2,0.0,0.0,1,R10LATIN_AM
88,EN_NPi2020_600f,REMIND-MAgPIE 2.1-4.2,0.0,0.0,1,R10LATIN_AM
89,EN_NPi2020_600f_COV,REMIND-MAgPIE 2.1-4.2,0.0,0.0,1,R10LATIN_AM
90,SusDev_SDP-PkBudg1000,REMIND-MAgPIE 2.1-4.2,0.0,0.0,0,R10LATIN_AM
91,SusDev_SSP1-PkBudg900,REMIND-MAgPIE 2.1-4.2,0.0,0.0,1,R10LATIN_AM
92,SusDev_SSP2-PkBudg900,REMIND-MAgPIE 2.1-4.2,0.0,0.0,1,R10LATIN_AM
93,DeepElec_SSP2_ HighRE_Budg900,REMIND-MAgPIE 2.1-4.3,-2.241594580704165e-06,-5.828145909853033e-06,0,R10LATIN_AM
94,DeepElec_SSP2_def_Budg1100,REMIND-MAgPIE 2.1-4.3,-1.27023692907402e-05,-1.7882943432828702e-05,1,R10LATIN_AM
95,DeepElec_SSP2_def_Budg900,REMIND-MAgPIE 2.1-4.3,-6.176838400179241e-06,-1.3449567484308256e-05,1,R10LATIN_AM
96,EN_INDCi2030_500f,WITCH 5.0,0.005135691025379363,-0.08988886600125562,1,R10LATIN_AM
97,EN_NPi2020_400f,WITCH 5.0,0.0029907036613545657,-0.1428838481826772,1,R10LATIN_AM
98,EN_NPi2020_450,WITCH 5.0,-0.009444570586600032,-0.09803847607159438,1,R10LATIN_AM
99,EN_NPi2020_450f,WITCH 5.0,0.004223046767641958,-0.14713770720752556,1,R10LATIN_AM
100,EN_NPi2020_500,WITCH 5.0,-0.00958445247177736,-0.09803847607159438,1,R10LATIN_AM
101,EN_NPi2020_500f,WITCH 5.0,0.006130294668000302,-0.14773596440566783,1,R10LATIN_AM
102,SSP1_SPA1_19I_D,IMAGE 3.2,0.00041506705500193863,0.06418982011746151,1,R10INDIA+
103,SSP1_SPA1_19I_D_LB,IMAGE 3.2,0.0007189579786623795,0.06609990257077554,1,R10INDIA+
104,SSP1_SPA1_19I_LI,IMAGE 3.2,-0.00032386476511965523,0.013908977139516707,1,R10INDIA+
105,SSP1_SPA1_19I_LIRE,IMAGE 3.2,-0.0032604288458653735,0.011762855276910109,1,R10INDIA+
106,SSP1_SPA1_19I_LIRE_LB,IMAGE 3.2,-0.0033667184296241465,0.012334811151428773,1,R10INDIA+
107,SSP1_SPA1_19I_RE,IMAGE 3.2,-0.0018816848241055006,0.04608125698724319,1,R10INDIA+
108,SSP1_SPA1_19I_RE_LB,IMAGE 3.2,0.0005458330886964208,0.06857581169295333,1,R10INDIA+
109,SSP2_SPA1_19I_D_LB,IMAGE 3.2,-0.007742150161474004,0.006159692548238588,1,R10INDIA+
110,SSP2_SPA1_19I_LIRE_LB,IMAGE 3.2,-0.011424716091147487,0.0010835130097676948,1,R10INDIA+
111,SSP2_SPA1_19I_RE_LB,IMAGE 3.2,-0.007781541424031015,0.006615447232921401,1,R10INDIA+
112,SSP2_SPA2_19I_D,IMAGE 3.2,-0.010083687996364214,-0.00048078934256066963,1,R10INDIA+
113,SSP2_SPA2_19I_LI,IMAGE 3.2,-0.010479750749459102,0.0015788833208853353,1,R10INDIA+
114,SSP2_SPA2_19I_LIRE,IMAGE 3.2,-0.010923768289546006,0.0015901170293758787,1,R10INDIA+
115,SSP2_SPA2_19I_RE,IMAGE 3.2,0.0034778402858323676,0.016018859096251697,1,R10INDIA+
116,EN_INDCi2030_600f_COV,MESSAGEix-GLOBIOM_1.1,0.0001275146735432997,0.002518744935207505,1,R10INDIA+
117,EN_INDCi2030_600f_COV_NDCp,MESSAGEix-GLOBIOM_1.1,0.0001275146735432997,0.0024495137801561484,1,R10INDIA+
118,EN_INDCi2030_700f,MESSAGEix-GLOBIOM_1.1,0.00012473236373004848,0.002571809869427122,1,R10INDIA+
119,EN_INDCi2030_700f_COV,MESSAGEix-GLOBIOM_1.1,0.00012079209153058323,0.004016567194871236,1,R10INDIA+
120,EN_INDCi2030_700f_COV_NDCp,MESSAGEix-GLOBIOM_1.1,0.00012079209153058323,0.0034004263163175813,1,R10INDIA+
121,EN_INDCi2030_700f_NDCp,MESSAGEix-GLOBIOM_1.1,0.00012406426173268426,0.0025680358266383374,1,R10INDIA+
122,EN_NPi2020_200f,MESSAGEix-GLOBIOM_1.1,0.00015419253307944608,0.002384556857937828,1,R10INDIA+
123,EN_NPi2020_300f,MESSAGEix-GLOBIOM_1.1,0.00014358967226588137,0.003281937323914526,1,R10INDIA+
124,EN_NPi2020_400f,MESSAGEix-GLOBIOM_1.1,8.756540615172809e-05,0.002258941669722535,1,R10INDIA+
125,EN_NPi2020_450,MESSAGEix-GLOBIOM_1.1,0.00016137209119750778,0.00042141116660911193,1,R10INDIA+
126,EN_NPi2020_450f,MESSAGEix-GLOBIOM_1.1,8.678128890108466e-05,0.0023271256021370618,1,R10INDIA+
127,EN_NPi2020_500,MESSAGEix-GLOBIOM_1.1,0.00016052731125412029,0.0004196889821507857,1,R10INDIA+
128,EN_NPi2020_500f,MESSAGEix-GLOBIOM_1.1,8.673782476881914e-05,0.0019767408476453127,1,R10INDIA+
129,EN_NPi2020_600,MESSAGEix-GLOBIOM_1.1,0.00014113930585758078,0.0003875261809729996,1,R10INDIA+
130,EN_NPi2020_600_COV,MESSAGEix-GLOBIOM_1.1,9.871976508273733e-05,0.0005547648175605255,1,R10INDIA+
131,EN_NPi2020_600_DR10p,MESSAGEix-GLOBIOM_1.1,0.00015369593961773315,0.0004894909972624692,1,R10INDIA+
132,EN_NPi2020_600_DR1p,MESSAGEix-GLOBIOM_1.1,8.368536074436494e-05,0.0005921344274171167,1,R10INDIA+
133,EN_NPi2020_600_DR2p,MESSAGEix-GLOBIOM_1.1,0.00010088511481928797,0.00046273884691246103,1,R10INDIA+
134,EN_NPi2020_600_DR3p,MESSAGEix-GLOBIOM_1.1,0.00010265330593473704,0.0004686512038417842,1,R10INDIA+
135,EN_NPi2020_600_DR4p,MESSAGEix-GLOBIOM_1.1,0.00010774655750050988,0.0003969861183496029,1,R10INDIA+
136,EN_NPi2020_600f,MESSAGEix-GLOBIOM_1.1,8.4277400410393e-05,0.001387476513124812,1,R10INDIA+
137,EN_NPi2020_600f_COV,MESSAGEix-GLOBIOM_1.1,8.253201681128475e-05,0.0014325682826672528,1,R10INDIA+
