model,scenario,Nd,total,Dy,Ni,Mn,Ag,Cd,Te,Se,In,resource_score
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600,0.3549764833423951,4.609397891107355,0.7506789583114095,0.6347590408027004,0.3433307670150104,0.3282272189138481,0.4153386271203078,0.5859621924372364,0.4830987509317872,0.7130258522326604,0.5121553212341506
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR10p,0.623838659433838,5.1292374245430095,0.7258074324656515,0.7816136519553194,0.6287968721855414,0.35094412809161746,0.4143671858722177,0.5306949803800006,0.46067698461893375,0.6124975295398902,0.5699152693936678
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f,0.32697455009323945,2.9807656812496024,0.3275126343880443,0.3460967348687267,0.33540478498909493,0.24738829794019362,0.28843928113987644,0.36553645921178335,0.3226308355444378,0.4207821030742057,0.3311961868055114
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_COV,0.2741666849846235,2.199157929122292,0.21517983449584152,0.2496649208348339,0.283545455043199,0.19932472891535977,0.21796743431697788,0.25128546626631565,0.23523327975027444,0.27279012451486623,0.244350881013588
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR10p,0.557163050753496,2.9499869118196886,0.21339840627667192,0.39504421493313635,0.5863778606975822,0.25348290101137777,0.2517422766287317,0.23021854753445337,0.25462955611074933,0.20793009787348982,0.32777632353552094
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR1p,0.16920212067051146,3.8498716389450616,0.7052791606729253,0.4851888857696143,0.149815334428121,0.27220448558398813,0.3657597858121015,0.5587147817235129,0.4389513902432298,0.7047556940410578,0.4277635154383402
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR2p,0.2217400399892578,3.4312522672519505,0.5323206505199448,0.4110315795520523,0.21351780631243691,0.2587012657108888,0.331867811895004,0.4804881463770078,0.38979170664062773,0.5917932602547308,0.3812502519168834
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR3p,0.22603959966676354,3.115438139656886,0.42007608762756243,0.36047450535668824,0.22221507247208017,0.2555067132966218,0.31504160261811737,0.4327471752303469,0.36331863403172504,0.5200187493569808,0.3461597932952096
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600f_DR4p,0.28413863059035993,2.9514532678157916,0.36152178690266823,0.3494384506195235,0.28758753690793126,0.24056765148835335,0.28653015849527314,0.37679139259367683,0.32305312796621344,0.44182453225179186,0.3279392519795324
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700,0.28790230668411315,3.4914133957237152,0.5132415984706674,0.47095261121023274,0.28146933630890375,0.25815103035360576,0.321027842063878,0.4486979737343809,0.3681546858824952,0.5418160110154381,0.3879348217470795
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700_COV,0.2530781448007336,2.6599448768633773,0.32838286712364373,0.33450324411543714,0.2528863519474706,0.21908958706449322,0.2577649046290407,0.3364140757605998,0.28643670086337336,0.3913890005585853,0.2955494307625975
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f,0.32950261469788994,2.763920709470617,0.2898936079475016,0.3136189483866815,0.3410425151713085,0.23886256898003885,0.2695550217924143,0.32290264554742654,0.29793198538724647,0.3606108015601092,0.3071023010522908
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_700f_COV,0.2575909132304249,2.0436011591257994,0.19455216124553462,0.22548742965493837,0.26721957166989907,0.19248683998773009,0.20699671837199268,0.2309150405633819,0.22250430490259698,0.24584817949930082,0.22706679545842215
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_int_mc_50,0.21265686884431317,0.8869389283268156,0.21800604858986883,0.22170450226841615,0.22702732801473458,0.007544180609482891,0.0,0.0,0.0,0.0,0.09854876981409062
MESSAGEix-GLOBIOM_GEI 1.0,SSP2_noint_mc_50,0.20750193170118267,0.9115699778878651,0.22183992537822875,0.2216203112996995,0.22115162156878093,0.015648098305902206,0.007646559350728964,0.005296129807657133,0.007478750499195123,0.003386649976489757,0.10128555309865167
