scenario,model,Nd,Dy,Ni,Mn,Ag,Cd,Te,Se,In
EN_NPi2020_600_DR10p,MESSAGEix-GLOBIOM_1.1,0.47456963207669145,0.3255197306851047,0.2892287451538072,0.5848451791855686,0.48802871826452754,0.849479606065375,0.5172139346015254,2.6866034347394736,1.1556251874439687
EN_NPi2020_600_DR1p,MESSAGEix-GLOBIOM_1.1,0.9072959991574193,0.5598800230077464,0.4494734996873364,0.5003559255882065,0.379323138916998,1.3065249529076748,0.7208911789866667,1.6493958522971266,1.6107068044966657
EN_NPi2020_600_DR2p,MESSAGEix-GLOBIOM_1.1,0.8313524142482556,0.513016269496522,0.4119743398981279,0.45847452993011956,0.3746295685627611,1.2471978971536755,0.7119712025360261,1.6289869853430938,1.5907766580559881
EN_NPi2020_600_DR3p,MESSAGEix-GLOBIOM_1.1,0.7879542669755208,0.4862358629741556,0.39053715342548573,0.4345413039844214,0.37363382927882954,1.15106296090714,0.7034517720448691,2.0568583190042307,1.571741462366908
EN_NPi2020_600_DR4p,MESSAGEix-GLOBIOM_1.1,0.7621432579470125,0.47030824029957685,0.37773846320413573,0.4203070393951162,0.39340622933859093,1.1368542191293451,0.6779594522165956,2.165705597710491,1.5147832775441679
EN_NPi2020_600f,MESSAGEix-GLOBIOM_1.1,0.4206672100202558,0.2884597620377783,0.2562211674594766,0.2939729531674586,0.4285641645080045,0.6884081350635919,0.4482712776794524,2.3592504155654437,1.0015847304910117
EN_NPi2020_600f_COV,MESSAGEix-GLOBIOM_1.1,0.2439747292872712,0.1669769502018502,0.1481443365996751,0.24359365421149098,0.3689569736538715,0.42239223237415996,0.2732821361075151,2.031112177608137,0.6106017232649477
EN_NPi2020_600f_DR10p,MESSAGEix-GLOBIOM_1.1,0.17979840706333594,0.123025221989831,0.18706908986650989,0.6511777290553065,0.5272416678337383,0.40457581772024764,0.16362934117013397,2.9024711512409525,0.3656014956494784
EN_NPi2020_600f_DR1p,MESSAGEix-GLOBIOM_1.1,0.6570924029382638,0.4360327043688807,0.37806776205908443,0.4289075359929876,0.3586654725630319,1.145085130010852,0.6816319619097924,1.559570936001089,1.522988866022483
EN_NPi2020_600f_DR2p,MESSAGEix-GLOBIOM_1.1,0.5353512877437361,0.35550021324563785,0.3085907675828944,0.3499532247070775,0.33284068927095034,0.9714084328083987,0.632552808637844,1.4516247553291448,1.4133299765279788
EN_NPi2020_600f_DR3p,MESSAGEix-GLOBIOM_1.1,0.4678751339953575,0.3209170082184952,0.2852235161098209,0.32652564039960363,0.3072726546436524,0.8415060956670947,0.5479641995295276,1.6915393264207326,1.2243313422747581
EN_NPi2020_600f_DR4p,MESSAGEix-GLOBIOM_1.1,0.453312272974035,0.3109044864750285,0.2762468856798786,0.31631419635485053,0.3708419600635568,0.7751233676778063,0.5047377052800704,2.041489048421614,1.1277492083110627
EN_NPi2020_700,MESSAGEix-GLOBIOM_1.1,0.4594363549207497,0.3151150261183358,0.27996142975399396,0.3206083882744738,0.30663576104976437,0.8302736363085459,0.49771928557514916,1.688033220216598,1.112067761922135
EN_NPi2020_700_COV,MESSAGEix-GLOBIOM_1.1,0.30915559242520624,0.21179127675972592,0.18803666898000299,0.21523186954101992,0.28273604096766924,0.603183452122981,0.34759889427371626,1.556464999620479,0.7766496810644802
EN_NPi2020_700f,MESSAGEix-GLOBIOM_1.1,0.3554720562455335,0.24363561012269067,0.21639707574940364,0.3096382083906544,0.4149960231471284,0.6235956529182991,0.4060672816761755,2.2845576488922292,0.9072871922204188
EN_NPi2020_700f_COV,MESSAGEix-GLOBIOM_1.1,0.22634308698879851,0.15485452442109146,0.13738827294593434,0.2622341977281867,0.371582041767254,0.4112029321197173,0.26776334325249546,2.0455632062994766,0.5982709340095111
NGFS2_Divergent Net Zero Policies,MESSAGEix-GLOBIOM_1.1,0.5133239748368141,0.3167652443182418,0.25436642566372974,0.2913391888050395,0.3419012545145812,0.8091825358981481,0.4355132083123661,1.8821701476647996,0.9730790284644004
NGFS2_Net-Zero 2050,MESSAGEix-GLOBIOM_1.1,0.5744014035312001,0.35445529499015455,0.28474333523861356,0.31677109365623096,0.3678132569811444,0.8197453080194894,0.5337942099764521,2.0248160048086254,1.1926709485037208
CD-LINKS_INDC2030i_1000,REMIND-MAgPIE 1.7-3.0,0.15756895878306004,0.09723366172747758,0.12426935932480537,0.4008044698541547,1.5378783552033637,1.1800819834043785,0.24989250333779015,8.466037175011795,0.8580790974819806
CD-LINKS_INDC2030i_400,REMIND-MAgPIE 1.7-3.0,0.15756895878306004,0.09723366172747758,0.13043874073472772,0.4203710008418566,1.6868495152055172,1.2943941338879226,0.2740990837686266,9.286125041074573,0.9411994808939625
CD-LINKS_NPi2020_1000,REMIND-MAgPIE 1.7-3.0,0.20758853342716085,0.12810006103771845,0.10677394485972477,0.29666924537642575,1.2688439469686477,1.0790199744101685,0.3579713722656908,6.984999813528666,0.9475191069392019
CD-LINKS_NPi2020_400,REMIND-MAgPIE 1.7-3.0,0.22766747014445704,0.1404904998379455,0.12180416529111966,0.19114574167510162,0.9411873482923672,1.2116278071168245,0.40254317094664144,5.181246652138673,1.0639659366543217
CO_2Deg2020,REMIND-MAgPIE 1.7-3.0,0.22936280846745147,0.14153667006261916,0.11412118841691268,0.2697627008730244,1.160488394460745,1.0719756308788415,0.3888567627214005,6.388501311194559,0.9413332621447859
