,model,scenario,economic_score,environmental_score,resource_score,resilience_score,robustness_score,fairness_score,cluster,model_family
56,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_goodpractice,0.7888773064321541,0.4608121985423445,0.1717109918042938,0.8337258889106247,0.660012558092454,0.6293374786244791,0,REMIND
57,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_full_netzero,0.7558539934622063,0.4590957434977318,0.1615159868733363,0.8227359672462787,0.5790605677513873,0.5994146291328453,0,REMIND
58,REMIND-MAgPIE 1.7-3.0,PEP_1p5C_red_eff,1.0,0.7886768949221564,0.5664592680456747,0.9708334762381994,0.4625292851217464,0.4180191494471719,3,REMIND
59,REMIND-MAgPIE 1.7-3.0,PEP_2C_full_NDC,0.6908839970521634,0.5435838679645778,0.1696919321480406,0.8243463611591335,0.6609800285636378,0.6246663053510135,0,REMIND
60,REMIND-MAgPIE 1.7-3.0,PEP_2C_full_eff,0.6668237691505772,0.5805591870157268,0.2859896258296265,0.8453905282924143,0.477859474646731,0.6171978948902835,0,REMIND
61,REMIND-MAgPIE 1.7-3.0,PEP_2C_full_goodpractice,0.6412115943326275,0.5785926282594192,0.1566164674889049,0.8072807057033397,0.5617237004430773,0.6093819189971164,0,REMIND
62,REMIND-MAgPIE 1.7-3.0,PEP_2C_full_netzero,0.6199912593422999,0.5814291898267847,0.1479446450855093,0.7961021236126312,0.5005068069587683,0.5803990351649072,0,REMIND
63,REMIND-MAgPIE 1.7-3.0,PEP_2C_red_NDC,0.8735408375936649,0.8406540458892581,0.2044578837700884,0.8847913757597401,0.7316244252484595,0.6795386752061175,0,REMIND
64,REMIND-MAgPIE 1.7-3.0,PEP_2C_red_eff,0.7600802311559418,0.7888392399443164,0.3092065131251535,0.8963729489447889,0.475769690483588,0.54951175698747,0,REMIND
65,REMIND-MAgPIE 1.7-3.0,PEP_2C_red_goodpractice,0.8071065507719781,0.8410359301932273,0.1956920755903443,0.8703349722067023,0.6226063328842647,0.6451422987858138,0,REMIND
66,REMIND-MAgPIE 1.7-3.0,PEP_2C_red_netzero,0.7727894557262519,0.8410254379262521,0.183281458140422,0.8614366835135622,0.5508663816151727,0.6120231843545682,0,REMIND
67,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-fullCDR,0.1158226273851988,0.7670538459049183,0.4585024620223542,0.2187383349680023,0.3542448950642431,0.3381533498615644,2,REMIND
68,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP1-1p5C-minCDR,0.1769128066263087,0.1809538491078383,0.5301392768013106,0.3008721407344298,0.1943362067109386,0.3032679338089608,2,REMIND
69,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-fullCDR,0.5985023820031131,0.9011094597211284,0.4415088429550879,0.7787679383633248,0.3689630050364137,0.4257121305736954,3,REMIND
70,REMIND-MAgPIE 2.1-4.2,CEMICS_SSP2-1p5C-minCDR,0.7555079473481487,0.2754731173359001,0.5589170157781388,0.8954684520424256,0.0788477167243339,0.3730613689103831,3,REMIND
71,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_300f,0.9003542138109033,0.7987996636750758,0.1404205538944337,0.9749946372526034,0.6950259279014851,0.5029214621198836,0,REMIND
72,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_400f,0.8555961932011006,0.8085548089446578,0.1404205538944337,0.9509845703626733,0.687058478351298,0.5015285365817551,0,REMIND
73,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_500f,0.8053592669204349,0.8102100470912242,0.1404205538944337,0.9206335107863726,0.681373634569941,0.5004499737858668,0,REMIND
74,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV,0.6629819268892145,0.88945288624368,0.0,0.7092874370254562,0.5843299299875455,0.6848247193109984,0,REMIND
75,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600_COV_NDCp,0.6534612149310529,0.8877801174479464,0.0,0.7095486825110243,0.5802917881279525,0.6234487825041067,0,REMIND
76,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f,0.7583392224793152,0.833081394157183,0.1404205538944337,0.8923437306111376,0.6694793927240653,0.4995305697688041,0,REMIND
77,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV,0.6579635180982176,0.8809371291314151,0.0,0.7452181802594051,0.5594612635438734,0.6643745040359783,0,REMIND
78,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_COV_NDCp,0.6585458240193847,0.8820763914170977,0.0,0.7438381277237132,0.5527527917482957,0.6030153673348547,0,REMIND
79,REMIND-MAgPIE 2.1-4.2,EN_INDCi2030_600f_NDCp,0.7605212906850378,0.8327742341927671,0.2983403243637879,0.8932945425484271,0.6653421250212732,0.4393325146325652,0,REMIND
80,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,0.9355037385938396,0.8165193266786588,0.7006800939260066,1.0,0.3423690278696337,0.4357614157143,3,REMIND
81,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,0.8799710696137903,0.8230655882516308,0.6815924361942947,0.9669872505595142,0.3514832166341012,0.4409803238831999,3,REMIND
82,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,0.7765606383350121,0.879085266222915,0.8649865435492676,0.8682436580582099,0.2308066980808895,0.2705532590644262,3,REMIND
83,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,0.8311394772358607,0.8305552563510294,0.6550218310552777,0.9362957552564878,0.3677482937118881,0.4490646484070225,3,REMIND
84,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,0.6959754149967281,0.8770346956354386,0.7776469806604828,0.8587786385172286,0.2755306723743093,0.371098245620006,3,REMIND
85,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500f,0.7850047929700656,0.836587519884493,0.6354241604377655,0.9054907095598612,0.3788132331091608,0.4546345238390833,3,REMIND
86,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,0.6525594932260076,0.8768386416852787,0.7113185824484719,0.8525383028942402,0.3249916694296023,0.4284999940748811,3,REMIND
87,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,0.5754665761415667,0.8968161037589261,0.6069301700947262,0.7364798247174065,0.3013125962653553,0.5843970207839708,3,REMIND
88,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f,0.7386757692594554,0.8478094385587461,0.6105124130259972,0.8814766401874884,0.3966138300641578,0.4658250912332081,3,REMIND
89,REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,0.6049329602181424,0.8861003938700849,0.537732029580416,0.7410406021457854,0.3632009570716962,0.6302280535143276,3,REMIND
90,REMIND-MAgPIE 2.1-4.2,NGFS2_Divergent Net Zero Policies,0.3419584525414919,0.869074488297546,0.5393349547279229,0.5770559890660271,0.2501544219635461,0.4810726360614352,3,REMIND
91,REMIND-MAgPIE 2.1-4.2,NGFS2_Net-Zero 2050,0.3436845152380015,0.8886724623502511,0.515920533727381,0.5879897866202316,0.3043478165066774,0.4872831807612084,3,REMIND
92,REMIND-MAgPIE 2.1-4.2,SusDev_SDP-PkBudg1000,0.041425565082296,0.0,0.6358840888571483,0.541334995866372,0.3569388947553155,0.2541149502450702,2,REMIND
93,REMIND-MAgPIE 2.1-4.2,SusDev_SSP1-PkBudg900,0.1863955993756401,0.6570901594262736,0.6762812450270488,0.2614843236956483,0.3293864178577918,0.2903935663487677,2,REMIND
94,REMIND-MAgPIE 2.1-4.2,SusDev_SSP2-PkBudg900,0.6740603081215205,0.880545642364151,0.6755607273140191,0.8270764455009229,0.3576341425425743,0.3682873281107146,3,REMIND
95,REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_ HighRE_Budg900,0.4035576642180798,0.9326058295286952,1.0,0.8166952802987922,0.3078009281172605,0.2545740015408212,3,REMIND
96,REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg1100,0.3099332754310011,1.0,0.500257723984665,0.6419411899659876,0.470508996028576,0.3811506632831485,3,REMIND
97,REMIND-MAgPIE 2.1-4.3,DeepElec_SSP2_def_Budg900,0.3860355762698629,0.9740426266893372,0.58929570681756,0.6922573137987168,0.4390302996874277,0.299622490332711,3,REMIND
98,WITCH 5.0,EN_INDCi2030_500f,0.0386327822192488,0.3184359910806003,0.0,0.4961513721431108,0.4708397436468641,0.4953564540828953,1,WITCH
99,WITCH 5.0,EN_NPi2020_400f,0.0194639862313438,0.3028773462082111,0.0,0.4953226542760076,0.1949033564271441,0.0825166352848421,2,WITCH
100,WITCH 5.0,EN_NPi2020_450,0.0,0.3376214191709534,0.0,0.4855089704499511,0.1000655702343215,0.0,2,WITCH
101,WITCH 5.0,EN_NPi2020_450f,0.0205702925683583,0.3026620475812449,0.0,0.496239165916854,0.210016327573939,0.0960824036067209,2,WITCH
102,WITCH 5.0,EN_NPi2020_500,0.0208323445915447,0.3477992026059215,0.0,0.4903288097907238,0.1446007851374119,0.0408469201586391,2,WITCH
103,WITCH 5.0,EN_NPi2020_500f,0.0249597895198414,0.3023915672811792,0.0,0.4977873087856994,0.2284675777223377,0.1075824586024141,2,WITCH
