model,scenario,version,region,variable,unit,year,value,Climate Category|SCI 2025 [Tier III],Climate Category|SCI 2025 [Tier II],Climate Category|SCI 2025 [Tier I],Vetting|SCI 2025
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Final Energy|Electricity,EJ/yr,2030,3.361047576904297,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Final Energy|Electricity,EJ/yr,2025,2.953229248046875,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Final Energy|Electricity,EJ/yr,2020,2.274674743652344,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Final Energy|Electricity,EJ/yr,2040,5.125511352539064,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Food Availability|Crops [per capita],kcal/cap/day,2100,2410.179170040433,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Food Availability|Crops [per capita],kcal/cap/day,2090,2445.967970399755,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Food Availability|Crops [per capita],kcal/cap/day,2080,2517.406417199171,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Food Availability|Crops [per capita],kcal/cap/day,2070,2601.020887869727,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Food Availability|Crops [per capita],kcal/cap/day,2060,2693.931278349276,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Food Availability|Crops [per capita],kcal/cap/day,2050,2768.456042393152,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Food Availability|Crops [per capita],kcal/cap/day,2045,2763.37723484791,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Food Availability|Crops [per capita],kcal/cap/day,2040,2759.074037715761,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Food Availability|Crops [per capita],kcal/cap/day,2030,2681.160353689071,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Food Availability|Crops [per capita],kcal/cap/day,2025,2583.405334943114,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Food Availability|Crops [per capita],kcal/cap/day,2020,2486.924190967268,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Food Availability|Crops [per capita],kcal/cap/day,2035,2719.379640025909,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Food Availability|Livestock [per capita],kcal/cap/day,2100,409.1682620496098,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Food Availability|Livestock [per capita],kcal/cap/day,2045,309.1078400942912,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Food Availability|Livestock [per capita],kcal/cap/day,2090,408.9392960771154,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,Africa (R10),Food Availability|Livestock [per capita],kcal/cap/day,2080,403.1785302437339,GW2-IIIb,GW2b,GW2,ok
