model,scenario,version,region,variable,unit,year,value,Climate Category|SCI 2025 [Tier III],Climate Category|SCI 2025 [Tier II],Climate Category|SCI 2025 [Tier I],Vetting|SCI 2025
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,GDP|MER,billion USD_2010/yr,2080,281964.91944896,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,GDP|MER,billion USD_2010/yr,2035,110139.59287104,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,GDP|MER,billion USD_2010/yr,2030,96362.90521056001,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,GDP|MER,billion USD_2010/yr,2025,82782.19891088,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,GDP|MER,billion USD_2010/yr,2020,68432.9425992,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,GDP|MER,billion USD_2010/yr,2040,124709.3692,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Investment|Energy Supply,billion USD_2010/yr,2060,1597.43791053696,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Investment|Energy Supply,billion USD_2010/yr,2100,2481.2250579888,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Investment|Energy Supply,billion USD_2010/yr,2090,1975.72637883264,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Investment|Energy Supply,billion USD_2010/yr,2080,2069.63772402432,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Investment|Energy Supply,billion USD_2010/yr,2070,1834.92019657536,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Investment|Energy Supply,billion USD_2010/yr,2050,2230.9058332056,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Investment|Energy Supply,billion USD_2010/yr,2045,2271.15324697968,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Investment|Energy Supply,billion USD_2010/yr,2035,2057.84890380072,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Investment|Energy Supply,billion USD_2010/yr,2030,1893.78145280784,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Investment|Energy Supply,billion USD_2010/yr,2025,1684.168770289906,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Investment|Energy Supply,billion USD_2010/yr,2020,1625.73492720384,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Investment|Energy Supply,billion USD_2010/yr,2040,2038.57297727136,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Land Cover,million ha,2100,12964.2672,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Land Cover,million ha,2090,12964.2144,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Land Cover,million ha,2080,12964.0152,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Land Cover,million ha,2070,12963.9504,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Land Cover,million ha,2060,12964.1056,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Land Cover,million ha,2050,12964.1296,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Land Cover,million ha,2045,12964.1296,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Land Cover,million ha,2040,12964.1096,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Land Cover,million ha,2035,12964.1096,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Land Cover,million ha,2030,12964.124,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Land Cover,million ha,2025,12964.124,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Land Cover,million ha,2020,12964.328,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Land Cover|Forest,million ha,2090,4652.4276,GW2-IIIb,GW2b,GW2,ok
IMAGE 3.3,NAVIGATE Demand-1.5°C-tec_u,1,World,Land Cover|Forest,million ha,2080,4534.166,GW2-IIIb,GW2b,GW2,ok
