model,scenario,version,Climate Category|SCI 2025 [Tier I],missing_iamee_variables,missing_sci_variables,incomplete_variable_count
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1000f-NDCp,1,GW4,Price|Secondary Energy|Electricity; Food Demand|Crops; Food Demand|Livestock,Price|Secondary Energy|Electricity; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],3
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200,1,GW4,Price|Secondary Energy|Electricity; Food Demand|Crops; Food Demand|Livestock,Price|Secondary Energy|Electricity; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],3
POLES-JRC ENGAGE,ENGAGE-INDCi2030-1200f,1,GW4,Price|Secondary Energy|Electricity; Food Demand|Crops; Food Demand|Livestock,Price|Secondary Energy|Electricity; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],3
POLES-JRC ENGAGE,ENGAGE-INDCi2030-300f,1,GW3,Price|Secondary Energy|Electricity; Food Demand|Crops; Food Demand|Livestock,Price|Secondary Energy|Electricity; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],3
POLES-JRC ENGAGE,ENGAGE-INDCi2030-400f,1,GW3,Price|Secondary Energy|Electricity; Food Demand|Crops; Food Demand|Livestock,Price|Secondary Energy|Electricity; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],3
POLES-JRC ENGAGE,ENGAGE-INDCi2030-500f,1,GW3,Price|Secondary Energy|Electricity; Food Demand|Crops; Food Demand|Livestock,Price|Secondary Energy|Electricity; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],3
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f,1,GW3,Price|Secondary Energy|Electricity; Food Demand|Crops; Food Demand|Livestock,Price|Secondary Energy|Electricity; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],3
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV,1,GW3,Price|Secondary Energy|Electricity; Food Demand|Crops; Food Demand|Livestock,Price|Secondary Energy|Electricity; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],3
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-COV-NDCp,1,GW3,Price|Secondary Energy|Electricity; Food Demand|Crops; Food Demand|Livestock,Price|Secondary Energy|Electricity; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],3
POLES-JRC ENGAGE,ENGAGE-INDCi2030-600f-NDCp,1,GW3,Price|Secondary Energy|Electricity; Food Demand|Crops; Food Demand|Livestock,Price|Secondary Energy|Electricity; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],3
POLES-JRC ENGAGE,ENGAGE-INDCi2030-700f,1,GW3,Price|Secondary Energy|Electricity; Food Demand|Crops; Food Demand|Livestock,Price|Secondary Energy|Electricity; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],3
POLES-JRC ENGAGE,ENGAGE-INDCi2030-800f,1,GW3,Price|Secondary Energy|Electricity; Food Demand|Crops; Food Demand|Livestock,Price|Secondary Energy|Electricity; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],3
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900,1,GW3,Price|Secondary Energy|Electricity; Food Demand|Crops; Food Demand|Livestock,Price|Secondary Energy|Electricity; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],3
POLES-JRC ENGAGE,ENGAGE-INDCi2030-900f,1,GW4,Price|Secondary Energy|Electricity; Food Demand|Crops; Food Demand|Livestock,Price|Secondary Energy|Electricity; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],3
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f,1,GW4,Price|Secondary Energy|Electricity; Food Demand|Crops; Food Demand|Livestock,Price|Secondary Energy|Electricity; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],3
POLES-JRC ENGAGE,ENGAGE-NPi2020-1000f-COV,1,GW4,Price|Secondary Energy|Electricity; Food Demand|Crops; Food Demand|Livestock,Price|Secondary Energy|Electricity; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],3
POLES-JRC ENGAGE,ENGAGE-NPi2020-1200f,1,GW4,Price|Secondary Energy|Electricity; Food Demand|Crops; Food Demand|Livestock,Price|Secondary Energy|Electricity; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],3
POLES-JRC ENGAGE,ENGAGE-NPi2020-900f,1,GW4,Price|Secondary Energy|Electricity; Food Demand|Crops; Food Demand|Livestock,Price|Secondary Energy|Electricity; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita],3
REMIND 3.5,Rescuing-1.5°C-Highest-Possible-Ambition,1,GW4,Land Cover; Carbon Sequestration|Land Use; Food Demand|Crops; Food Demand|Livestock; Land Cover|Forest|Natural Forest,Land Cover; Carbon Removal|Land Use; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita]; Land Cover|Forest,5
TIAM-ECN 1.1,ENGAGE-INDCi2030-1000,1,GW2,Investment|Energy Supply; Population; Primary Energy|Non-Biomass Renewables; GDP|MER; Land Cover; Food Demand|Crops; Food Demand|Livestock; Primary Energy|Fossil|w/ CCS; Primary Energy|Fossil|w/o CCS; Land Cover|Forest|Natural Forest,Investment|Energy Supply; Population; Primary Energy|Non-Biomass Renewables; GDP|MER; Land Cover; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita]; Primary Energy|Fossil|w/ CCS; Primary Energy|Fossil|w/o CCS; Land Cover|Forest,10
TIAM-ECN 1.1,ENGAGE-INDCi2030-1000-COV,1,GW2,Investment|Energy Supply; Population; Primary Energy|Non-Biomass Renewables; GDP|MER; Land Cover; Food Demand|Crops; Food Demand|Livestock; Primary Energy|Fossil|w/ CCS; Primary Energy|Fossil|w/o CCS; Land Cover|Forest|Natural Forest,Investment|Energy Supply; Population; Primary Energy|Non-Biomass Renewables; GDP|MER; Land Cover; Food Availability|Crops [per capita]; Food Availability|Livestock [per capita]; Primary Energy|Fossil|w/ CCS; Primary Energy|Fossil|w/o CCS; Land Cover|Forest,10
