model,scenario,version,reported_r10_variable_pairs,required_r10_variable_pairs,has_all_mandatory_variables_at_all_r10_regions
WITCH 5.0,ENGAGE-INDCi2030-600f,1,210,230,False
WITCH 5.0,ENGAGE-INDCi2030-600f-NDCp,1,210,230,False
WITCH 5.0,ENGAGE-INDCi2030-700f,1,210,230,False
WITCH 5.0,ENGAGE-INDCi2030-700f-NDCp,1,210,230,False
WITCH 5.0,ENGAGE-INDCi2030-800,1,210,230,False
WITCH 5.0,ENGAGE-INDCi2030-800-NDCp,1,210,230,False
WITCH 5.0,ENGAGE-INDCi2030-800f,1,210,230,False
WITCH 5.0,ENGAGE-INDCi2030-800f-NDCp,1,210,230,False
WITCH 5.0,ENGAGE-INDCi2030-900,1,210,230,False
WITCH 5.0,ENGAGE-INDCi2030-900-NDCp,1,210,230,False
WITCH 5.0,ENGAGE-INDCi2030-900f,1,210,230,False
WITCH 5.0,ENGAGE-INDCi2030-900f-NDCp,1,210,230,False
