Model,Scenario,Region,Variable,Unit,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10EUROPE,Land Cover,million ha,572.1246249999999,572.1238000000001,572.1238000000001,572.1258875000001,572.1258875000001,572.1265000000001,572.1265000000001,,572.12636875,,572.1253937500001,,572.12581875,,572.1247812500001,,572.125225
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10EUROPE,Land Cover|Forest|Natural Forest,million ha,228.62501992187487,229.669570703125,231.72897695312503,232.0030015625,233.776151171875,233.221050390625,231.72923164062504,,233.20788789062505,,233.869670703125,,234.755575390625,,234.0677015625,,229.93141601562505
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10EUROPE,Population,million,636.8949661254883,646.8760375976562,655.5048446655273,662.7628173828125,668.8755798339844,673.7438125610352,677.1252136230469,,679.00048828125,,674.1511840820312,,664.8804931640625,,652.0321578979492,,634.7854537963867
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10EUROPE,Primary Energy|Biomass,EJ/yr,5.021851585388184,4.510690055847168,5.586503089904785,3.85153231048584,8.45618342590332,13.96789047241211,16.706214950561524,,18.58194761657715,,20.32619381713868,,20.558987129211427,,21.54932707977295,,21.549188209533693
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10EUROPE,Primary Energy|Coal,EJ/yr,15.119289184570311,12.698657592773438,10.77322216796875,7.077123474121095,6.037405517578126,6.008839782714844,6.482990142822265,,7.479836669921875,,7.871887054443359,,8.226692321777344,,7.241824462890625,,5.458663543701173
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10EUROPE,Primary Energy|Fossil|w/ CCS,EJ/yr,0.0,0.5339125576596416,1.921231322406325,3.154788076370955,4.226733484506607,5.1296978056933735,6.0951471295207735,,10.259618129104377,,13.514869039565324,,17.479016558378934,,14.951289966881276,,8.260889390289783
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10EUROPE,Primary Energy|Fossil|w/o CCS,EJ/yr,63.43096984863281,57.39658276367187,52.43465490722656,39.74440881347656,34.66134014892578,28.057382751464843,22.90550573730469,,16.439033538818357,,18.31037862777709,,21.506712375640863,,23.12218593978882,,22.06208324432373
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10EUROPE,Primary Energy|Gas,EJ/yr,22.29351806640625,22.701007080078124,22.821448486328123,18.342339111328123,16.9626552734375,14.62164501953125,12.848134033203126,,12.274879638671877,,14.8290810546875,,20.2258994140625,,20.12507763671875,,12.789153930664062
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10EUROPE,Primary Energy|Non-Biomass Renewables,EJ/yr,4.888005279748169,5.67983986617334,6.291834225203125,7.212764109,7.724047917000001,9.681004466,12.204024891,,14.640892645,,12.879296004,,9.466152205,,10.872847531,,14.817189284
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10EUROPE,Primary Energy|Nuclear,EJ/yr,3.599325152,3.6150327196015626,3.590455755,3.2457597880000004,2.4106115540000004,1.216026252,0.459065578,,0.27145777,,0.285465558,,0.336952068,,0.643191318,,1.173306321
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10EUROPE,Primary Energy|Oil,EJ/yr,26.01816259765625,22.53083276367187,20.761215087890623,17.479737915039063,15.888015625,12.55660009765625,9.669528747558594,,6.943935485839844,,9.124279907226564,,10.533140502929689,,10.706576232910155,,12.075155639648438
IMAGE 3.0,ENGAGE-INDCi2030-1000,R10INDIA+,Capacity|Electricity|Solar|PV,GW,43.3447431640625,134.5242431640625,233.81533203125,330.9456328125,435.917390625,829.5567968749999,872.6153906249999,,1239.84859375,,1011.62490625,,742.11571875,,685.7552734374999,,949.862421875
